,0.76
1,-0.2176
0.975,-0.2714
0.95,-0.2857
0.9,-0.3266
0.8,-0.3845
0.7,-0.4794
0.62,-0.5379
0.58,-0.5728
0.54,-0.605
0.5,-0.6832
0.46,-1.0979
0.42,-1.2189
0.38,-1.225
0.34,-1.224
0.3,-1.2216
0.26,-1.2095
0.22,-1.1869
0.16,-1.1679
0.14,-1.1657
0.1,-1.0631
0.08,-0.9577
0.06,-0.7957
0.04,-0.6304
0.025,-0.4097
0.015,-0.1709
0.008,0.1023
0.004,0.4119
0,1.1449
0,1.1449
0.004,0.6974
0.008,0.4819
0.02,0.3286
0.05,0.2545
0.1,0.0962
0.15,-0.0308
0.2,-0.1484
0.25,-0.2431
0.35,-0.3026
0.45,-0.2138
0.55,-0.0768
0.65,0.0677
0.75,0.2022
0.85,0.2745
1,-0.2176
