,0.6
0.979166667,-0.055643879
0.956521739,-0.049284579
0.934782609,-0.074721781
0.913949275,-0.081081081
0.892210145,-0.106518283
0.870471014,-0.119236884
0.848731884,-0.144674086
0.827898551,-0.170111288
0.807065217,-0.176470588
0.78442029,-0.20190779
0.763586957,-0.220985692
0.741847826,-0.233704293
0.720108696,-0.259141494
0.699275362,-0.284578696
0.676630435,-0.297297297
0.656702899,-0.316375199
0.634057971,-0.3354531
0.612318841,-0.373608903
0.591485507,-0.399046105
0.571557971,-0.430842607
0.548913043,-0.456279809
0.528985507,-0.481717011
0.50634058,-0.526232114
0.485507246,-0.558028617
0.463768116,-0.59618442
0.441123188,-0.621621622
0.420289855,-0.653418124
0.398550725,-0.717011129
0.376811594,-0.774244833
0.355978261,-0.831478537
0.335144928,-0.888712242
0.3125,-0.958664547
0.292572464,-1.034976153
0.269927536,-1.124006359
0.25,-1.206677266
0.226449275,-1.276629571
0.206521739,-1.378378378
0.182065217,-1.454689984
0.170289855,-1.518282989
0.15307971,-1.600953895
0.135869565,-1.728139905
0.121376812,-1.925278219
0.105978261,-2.224165342
0.091485507,-2.395866455
0.086050725,-2.440381558
0.080615942,-2.497615262
0.076086957,-2.542130366
0.06884058,-2.554848967
0.059782609,-2.523052464
0.053442029,-2.478537361
0.048913043,-2.434022258
0.042572464,-2.389507154
0.038043478,-2.33863275
0.03442029,-2.255961844
0.02807971,-2.243243243
0.022644928,-2.20508744
0.014492754,-2.154213037
0.009057971,-2.084260731
0.005434783,-1.995230525
0.002717391,0.122416534
0.003623188,1.069952305
0.009963768,1.031796502
0.013586957,0.961844197
0.020833333,0.891891892
0.024456522,0.841017488
0.029891304,0.802861685
0.035326087,0.764705882
0.04076087,0.73290938
0.053442029,0.662957075
0.067028986,0.59936407
0.085144928,0.548489666
0.116847826,0.478537361
0.151268116,0.408585056
0.18115942,0.364069952
0.213768116,0.325914149
0.244565217,0.281399046
0.276268116,0.255961844
0.307065217,0.243243243
0.338768116,0.217806041
0.372282609,0.179650238
0.403985507,0.166931638
0.435688406,0.147853736
0.467391304,0.116057234
0.5,0.103338633
0.530797101,0.084260731
0.564311594,0.07154213
0.596014493,0.046104928
0.626811594,0.027027027
0.661231884,0.020667727
0.692028986,0.014308426
0.723731884,0.001589825
0.754528986,-0.004769475
0.787137681,-0.004769475
0.820652174,-0.011128776
0.849637681,-0.017488076
0.884057971,0.001589825
0.914855072,0.020667727
0.946557971,0.141494436
0.976449275,0.084260731
