,0.09
0.9500,-0.0763
0.9000,-0.1019
0.8500,-0.1399
0.8000,-0.1835
0.7500,-0.2370
0.7000,-0.2966
0.6500,-0.3669
0.6000,-0.4561
0.5500,-0.5621
0.5000,-0.6753
0.4500,-0.7935
0.4000,-0.9061
0.3500,-1.0052
0.3000,-1.0794
0.2500,-1.1266
0.2000,-1.2058
0.1500,-1.8871
0.1000,-2.2908
0.0750,-2.2977
0.0600,-2.3305
0.0500,-2.3200
0.0400,-2.3384
0.0300,-2.3782
0.0250,-2.3865
0.0200,-2.4642
0.0150,-2.5729
0.0100,-2.6530
0.0050,-2.9345
0.0000,-2.4217
0.0000,-2.4217
0.0050,0.6949
0.0100,0.9476
0.0150,1.0043
0.0200,1.0018
0.0250,0.9586
0.0310,0.9346
0.0400,0.8682
0.0500,0.8077
0.0600,0.7766
0.0750,0.7141
0.1000,0.6367
0.1500,0.5439
0.2000,0.4875
0.2500,0.4447
0.3000,0.4047
0.3500,0.3925
0.4000,0.3677
0.4500,0.3400
0.5050,0.3209
0.5500,0.3104
0.6000,0.2909
0.6500,0.2695
0.7000,0.2534
0.7500,0.2298
0.8000,0.2134
0.8500,0.1897
0.9000,0.1647
0.9500,0.1188
