,0.13
0.9500,0.0277
0.9000,-0.0426
0.8500,-0.1075
0.8000,-0.1686
0.7500,-0.2336
0.7000,-0.3034
0.6500,-0.3758
0.6000,-0.4548
0.5500,-0.5393
0.5000,-0.7289
0.4500,-0.8432
0.4000,-0.8970
0.3500,-0.9615
0.3000,-1.0101
0.2500,-1.0485
0.2000,-1.0919
0.1500,-1.1453
0.1000,-1.2233
0.0750,-1.2652
0.0600,-1.2965
0.0500,-1.3110
0.0400,-1.3370
0.0300,-1.3607
0.0250,-1.3740
0.0200,-1.3813
0.0150,-1.3933
0.0100,-1.3871
0.0050,-1.4056
0.0000,-0.0079
0.0000,-0.0079
0.0050,0.9858
0.0100,0.8850
0.0150,0.7853
0.0200,0.7133
0.0250,0.6530
0.0310,0.6075
0.0400,0.5343
0.0500,0.4802
0.0600,0.4437
0.0750,0.4027
0.1000,0.3559
0.1500,0.3051
0.2000,0.2798
0.2500,0.2616
0.3000,0.2514
0.3500,0.2447
0.4000,0.2363
0.4500,0.2308
0.5050,0.2253
0.5500,0.2221
0.6000,0.2151
0.6500,0.2124
0.7000,0.2043
0.7500,0.1991
0.8000,0.1973
0.8500,0.1916
0.9000,0.1861
0.9500,0.1730
