,0.06
0.9500,0.0614
0.9000,0.0220
0.8500,0.0002
0.8000,-0.0373
0.7500,-0.2923
0.7000,-0.3229
0.6500,-0.3325
0.6000,-0.3406
0.5500,-0.3635
0.5000,-0.4080
0.4500,-0.4626
0.4000,-0.5090
0.3500,-0.5381
0.3000,-0.5270
0.2500,-0.4988
0.2000,-0.4609
0.1500,-0.3975
0.1000,-0.2936
0.0750,-0.2053
0.0600,-0.1236
0.0500,-0.0510
0.0400,0.0412
0.0300,0.1548
0.0250,0.2339
0.0200,0.3311
0.0150,0.4617
0.0100,0.6064
0.0050,0.8588
0.0000,0.6220
0.0000,0.6220
0.0050,-0.8513
0.0100,-0.7143
0.0150,-0.6375
0.0200,-0.5843
0.0250,-0.5392
0.0310,-0.4996
0.0400,-0.4396
0.0500,-0.3940
0.0600,-0.3548
0.0750,-0.3076
0.1000,-0.2489
0.1500,-0.1674
0.2000,-0.1159
0.2500,-0.0768
0.3000,-0.0452
0.3500,-0.0191
0.4000,0.0000
0.4500,0.0174
0.5050,0.0337
0.5500,0.0450
0.6000,0.0578
0.6500,0.0639
0.7000,0.0770
0.7500,0.0892
0.8000,0.1054
0.8500,0.1167
0.9000,0.1300
0.9500,0.1383
