,0.15
0.997260274,-0.627692308
0.898630137,-0.673846154
0.848401826,-0.683076923
0.80456621,-0.683076923
0.75890411,-0.673846154
0.715068493,-0.655384615
0.670319635,-0.636923077
0.630136986,-0.627692308
0.59086758,-0.609230769
0.549771689,-0.6
0.512328767,-0.590769231
0.476712329,-0.572307692
0.442922374,-0.572307692
0.40913242,-0.581538462
0.378082192,-0.563076923
0.346118721,-0.553846154
0.289497717,-0.581538462
0.167123288,-1.264615385
0.147031963,-1.523076923
0.126940639,-1.763076923
0.109589041,-1.975384615
0.092237443,-2.178461538
0.078538813,-2.409230769
0.063926941,-2.612307692
0.052054795,-2.787692308
0.042009132,-2.907692308
0.033789954,-3.009230769
0.023744292,-3.129230769
0.015525114,-3.341538462
0.010045662,-3.507692308
0.005479452,-3.553846154
-0.000913242,-3.516923077
0.000913242,-3.323076923
0.000913242,-2.907692308
0.000913242,-1.578461538
0.003652968,-1.006153846
0.006392694,-0.304615385
0.008219178,-0.009230769
0.017351598,0.507692308
0.030136986,0.803076923
0.044748858,0.941538462
0.067579909,0.950769231
0.119634703,0.784615385
0.150684932,0.664615385
0.189041096,0.526153846
0.225570776,0.406153846
0.269406393,0.258461538
0.315068493,0.166153846
0.369863014,0.064615385
0.42283105,0.027692308
0.478538813,0.046153846
0.543378995,0.12
0.610045662,0.212307692
0.680365297,0.304615385
0.7543379,0.350769231
0.831050228,0.341538462
0.910502283,0.24
