,0.65
0.9489,0.1003
0.8993,0.0342
0.85,-0.0347
0.8003,-0.0912
0.7487,-0.1482
0.6996,-0.209
0.6495,-0.2631
0.5994,-0.3169
0.5492,-0.3699
0.4997,-0.4391
0.4496,-0.4896
0.3994,-0.5553
0.3499,-0.6016
0.2997,-0.6735
0.2501,-0.9937
0.1994,-1.8032
0.1503,-1.8618
0.1012,-1.923
0.0763,-1.8999
0.0515,-1.8281
0.0271,-1.6676
0.0135,-1.4489
0,0.5216
0,0.5216
0.0122,0.9347
0.0251,0.688
0.051,0.4026
0.0755,0.2619
0.1,0.1609
0.1504,0.0397
0.2004,-0.029
0.2501,-0.0633
0.3002,-0.0794
0.3507,-0.0937
0.4,-0.0967
0.4503,-0.0828
0.5,-0.0885
0.5506,-0.0795
0.5997,-0.0698
0.6502,-0.0616
0.7003,-0.0448
0.7497,-0.0226
0.7998,0.0003
0.8503,0.0116
0.9,0.0297
0.9483,0.0892
