,0.6
0.9489,0.0932
0.8993,0.0508
0.85,0.0257
0.8003,-0.012
0.7487,-0.0372
0.6996,-0.0591
0.6495,-0.0781
0.5994,-0.0696
0.5492,-0.1056
0.4997,-0.1268
0.4496,-0.1389
0.3994,-0.1526
0.3499,-0.1602
0.2999,-0.1618
0.2501,-0.15
0.1994,-0.1337
0.1503,-0.0776
0.1012,0.0139
0.0763,0.0977
0.0515,0.2397
0.0271,0.49
0.0135,0.768
0,0.7246
0,0.7246
0.0122,-1.1933
0.0251,-1.4579
0.051,-1.4963
0.0755,-1.3577
0.1,-1.2432
0.1504,-1.0278
0.2004,-0.8834
0.2501,-0.7795
0.3002,-0.687
0.3507,-0.6108
0.4,-0.5396
0.4503,-0.4674
0.5,-0.415
0.5506,-0.3601
0.5997,-0.3028
0.6502,-0.2562
0.7003,-0.2019
0.7497,-0.1488
0.7998,-0.0899
0.8503,-0.0368
0.9,0.0244
0.9483,0.1099
