,1.40E-01
1,-0.330628803
0.950331126,-0.346855984
0.9,-0.452332657
0.843708609,-0.484787018
0.805298013,-0.476673428
0.759602649,-0.492900609
0.712582781,-0.476673428
0.672847682,-0.492900609
0.633112583,-0.509127789
0.591390728,-0.509127789
0.553642384,-0.492900609
0.51589404,-0.501014199
0.48013245,-0.53346856
0.447019868,-0.53346856
0.412582781,-0.492900609
0.380794702,-0.476673428
0.317880795,-0.484787018
0.29205298,-0.476673428
0.239072848,-0.452332657
0.213245033,-0.476673428
0.19205298,-0.484787018
0.165562914,-0.484787018
0.148344371,-0.492900609
0.129801325,-0.492900609
0.111258278,-0.517241379
0.09602649,-0.501014199
0.080794702,-0.509127789
0.053642384,-0.53346856
0.042384106,-0.565922921
0.030463576,-0.557809331
0.02384106,-0.582150101
0.014569536,-0.630831643
0.010596026,-0.736308316
0.00397351,-0.874239351
0.017218543,0.853955375
0.033112583,0.983772819
0.052317881,1
0.067549669,0.918864097
0.094039735,0.894523327
0.129801325,0.797160243
0.155629139,0.707910751
0.190728477,0.634888438
0.231788079,0.578093306
0.275496689,0.448275862
0.321854305,0.407707911
0.371523179,0.318458418
0.42781457,0.269776876
0.503311258,0.269776876
0.547019868,0.237322515
0.613907285,0.237322515
0.68410596,0.188640974
0.755629139,0.188640974
0.834437086,0.156186613
0.919205298,0.058823529
1,-0.314401623
