,0.31,0.42,0.52,0.55,0.58,0.6
0,-0.7,-0.68,-0.78,-0.76,-0.78,-0.77
0.006,-0.68,-0.67,-0.77,-0.76,-0.77,-0.76
0.016,-0.68,-0.67,-0.77,-0.76,-0.78,-0.76
0.027,-0.68,-0.68,-0.77,-0.76,-0.78,-0.76
0.051,-0.69,-0.67,-0.78,-0.76,-0.78,-0.76
0.08,-0.68,-0.68,-0.77,-0.76,-0.77,-0.76
0.106,-0.68,-0.68,-0.77,-0.76,-0.78,-0.76
0.154,-0.69,-0.68,-0.78,-0.76,-0.78,-0.76
0.199,-0.69,-0.69,-0.78,-0.76,-0.78,-0.76
0.255,-0.7,-0.69,-0.78,-0.77,-0.78,-0.76
0.304,-0.7,-0.71,-0.78,-0.77,-0.78,-0.77
0.351,-0.71,-0.71,-0.79,-0.78,-0.79,-0.76
0.399,-0.72,-0.72,-0.8,-0.78,-0.8,-0.78
0.448,-0.72,-0.72,-0.8,-0.78,-0.8,-0.78
0.502,-0.73,-0.73,-0.8,-0.79,-0.8,-0.78
0.551,-0.73,-0.74,-0.81,-0.8,-0.8,-0.79
0.6,-0.73,-0.74,-0.82,-0.8,-0.81,-0.79
0.655,-0.73,-0.75,-0.82,-0.8,-0.81,-0.79
0.758,-0.74,-0.76,-0.83,-0.81,-0.82,-0.8
0.804,-0.73,-0.76,-0.82,-0.8,-0.82,-0.8
0.904,-0.72,-0.75,-0.8,-0.79,-0.8,-0.79
0.955,-0.71,-0.74,-0.8,-0.78,-0.79,-0.78
1,-0.7,-0.73,-0.78,-0.77,-0.78,-0.77
