,0.6
1,0.04
0.947,-0.02
0.902,-0.07
0.852,-0.16
0.802,-0.27
0.752,-0.35
0.701,-0.4
0.651,-0.46
0.6,-0.52
0.551,-0.57
0.5,-0.64
0.45,-0.76
0.4,-0.71
0.352,-0.75
0.298,-0.79
0.251,-0.83
0.2,-0.84
0.15,-0.91
0.101,-1
0.075,-0.98
0.051,-1.57
0.025,-1.92
0.013,-2.09
0.006,-2.34
0,0.53
0.013,0.7
0.026,0.6
0.05,0.48
0.074,0.44
0.101,0.39
0.151,0.33
0.2,0.29
0.252,0.26
0.302,0.24
0.352,0.21
0.4,0.2
0.451,0.2
0.501,0.2
0.551,0.2
0.601,0.21
0.652,0.22
0.702,0.23
0.752,0.24
0.801,0.24
0.851,0.22
0.902,0.19
0.951,0.09
