,0.85
1,0.12
0.95,0.04
0.9,-0.02
0.85,-0.15
0.8,-0.34
0.75,-0.38
0.7,-0.41
0.65,-0.43
0.6,-0.48
0.55,-0.45
0.5,-0.42
0.45,-0.34
0.4,-0.31
0.35,-0.25
0.3,-0.18
0.25,-0.12
0.2,-0.01
0.15,0.09
0.1,0.2
0.08,0.3
0.05,0.43
0.03,0.59
0.013,0.8
0.006,1.05
0,0.62
0.013,-1.59
0.026,-1.47
0.05,-1.34
0.074,-1.26
0.101,-1.2
0.151,-1.14
0.2,-1.1
0.252,-1.08
0.302,-1.01
0.352,-0.72
0.4,-0.42
0.451,-0.26
0.501,-0.14
0.551,-0.07
0.601,0
0.652,0.06
0.702,0.1
0.752,0.13
0.801,0.15
0.851,0.15
0.902,0.15
0.951,0.11
