,0.320,0.430,0.540
0.005,0.360,0.460,0.480
0.013,0.840,0.870,0.910
0.025,1.000,1.020,1.050
0.050,1.000,1.010,1.050
0.075,0.920,0.930,0.970
0.100,0.860,0.880,0.920
0.150,0.770,0.780,0.820
0.200,0.680,0.690,0.730
0.250,0.620,0.630,0.670
0.300,0.530,0.550,0.590
0.350,0.460,0.480,0.520
0.400,0.400,0.420,0.460
0.450,0.350,0.360,0.410
0.500,0.300,0.320,0.360
0.550,0.260,0.260,0.320
0.600,0.230,0.240,0.290
0.700,0.140,0.160,0.210
0.750,0.100,0.120,0.170
0.800,0.060,0.060,0.120
0.850,-0.020,0.000,0.040
0.950,-0.320,-0.310,-0.270
