,0.15
1,0.082509137
0.97043522,0.093324383
0.941603889,0.079510703
0.910680988,0.03434027
0.82330903,-0.063056612
0.622067763,-0.298485866
0.531306718,-0.382501678
0.505789886,-0.391795331
0.472467741,-0.394480495
0.423656175,-0.413037965
0.321346436,-0.392034012
0.232350638,-0.366375774
0.112264116,-0.345610502
0.06658058,-0.314895204
0.042025621,-0.288371746
0.022932672,-0.23939733
0.011812859,-0.237308869
0.008723677,-0.029238458
0,0.715805176
0.004868415,0.096024465
0.015156883,0.026791974
0.036453283,-0.017677333
0.052082556,-0.035369583
0.076618868,-0.057417767
0.096655043,-0.066099799
0.153514333,-0.11232938
0.214715261,-0.133885284
0.29811852,-0.150667562
0.397123082,-0.178429179
0.500366724,-0.15690311
0.597952562,-0.110837622
0.694240882,-0.02003431
0.797204818,0.06862087
0.893437197,0.172850004
0.975598879,0.187379727
