,0.754
1,0.2329
0.95,0.1765
0.925,0.1347
0.9,0.0807
0.86,-0.0308
0.84,-0.0909
0.82,-0.1643
0.78,-0.3071
0.76,-0.3625
0.74,-0.4132
0.72,-0.4471
0.7,-0.4689
0.68,-0.4771
0.66,-0.4722
0.64,-0.4692
0.62,-0.479
0.6,-0.4911
0.58,-0.5285
0.56,-0.5699
0.54,-0.6093
0.52,-0.6187
0.5,-0.6371
0.475,-0.6481
0.45,-0.6509
0.425,-0.6462
0.4,-0.6255
0.375,-0.6067
0.35,-0.6004
0.325,-0.538
0.3,-0.578
0.2375,-0.7812
0.225,-0.8183
0.2,-0.8538
0.18,-0.8645
0.16,-0.8543
0.14,-0.8621
0.12,-0.905
0.1,-0.9077
0.09,-0.8931
0.08,-0.912
0.07,-0.9395
0.06,-0.9677
0.05,-0.9861
0.04,-0.9989
0.03,-0.9169
0.01,-0.5857
0.005,-0.0857
0,1.0857
0.005,0.8893
0.01,0.6324
0.02,0.3578
0.03,0.1889
0.04,0.0977
0.05,0.0356
0.075,-0.0443
0.2,-0.2364
0.25,-0.2894
0.3,-0.3397
0.35,-0.3782
0.4,-0.3879
0.45,-0.356
0.5,-0.3267
0.5625,-0.3327
0.6,-0.3608
0.65,-0.3134
0.7,-0.1314
0.725,-0.0209
0.75,0.0654
0.775,0.1362
0.8,0.1835
0.825,0.2195
0.85,0.2396
0.9,0.2519
0.95,0.2557
1,0.2329
