,0.5
0.9501,-0.0964
0.9002,-0.2062
0.8002,-0.3619
0.75,-0.4189
0.7,-0.4571
0.65,-0.4818
0.6002,-0.4901
0.5502,-0.4939
0.5002,-0.4899
0.4501,-0.4904
0.4003,-0.4915
0.3502,-0.5038
0.3001,-0.5197
0.2503,-0.5267
0.2003,-0.5468
0.1507,-0.5724
0.1003,-0.6487
0.0759,-0.7063
0.0259,-0.8233
0.0132,-0.6332
0,1.0626
0,1.0626
0.0126,0.4524
0.0255,0.272
0.0495,0.1103
0.0753,0.0273
0.1002,-0.0206
0.1503,-0.084
0.1976,-0.1532
0.2503,-0.1924
0.3001,-0.2165
0.3507,-0.2296
0.4001,-0.2253
0.4501,-0.2102
0.5001,-0.1766
0.5497,-0.1083
0.6003,-0.0291
0.65,0.0375
0.7,0.1318
0.7501,0.2169
0.8001,0.2892
0.8501,0.3563
