,0.7
0.9501,-0.07
0.9002,-0.1974
0.8002,-0.3983
0.75,-0.4784
0.7,-0.5348
0.65,-0.5672
0.6002,-0.5769
0.5502,-0.5688
0.5002,-0.5605
0.4501,-0.5556
0.4003,-0.5542
0.3502,-0.5551
0.3001,-0.5581
0.2503,-0.5541
0.2003,-0.554
0.1507,-0.5692
0.1003,-0.5932
0.0759,-0.6247
0.0259,-0.4988
0.0132,-0.1385
0,1.1111
0,1.1111
0.0126,0.2473
0.0255,0.0965
0.0495,-0.0396
0.0753,-0.1231
0.1002,-0.1784
0.1503,-0.2285
0.1976,-0.3077
0.2503,-0.3477
0.3001,-0.3668
0.3507,-0.3769
0.4001,-0.3632
0.4501,-0.332
0.5001,-0.2695
0.5497,-0.1721
0.6003,-0.067
0.65,0.0246
0.7,0.1307
0.7501,0.2242
0.8001,0.304
0.8501,0.3724
