,0.694
1,0.216
0.9784,0.124
0.9479,0.1
0.9184,0.069
0.8786,0.016
0.8385,-0.059
0.7982,-0.191
0.7494,-0.277
0.6993,-0.416
0.6493,-0.543
0.5993,-0.638
0.5493,-0.677
0.4996,-0.717
0.4492,-0.724
0.3993,-0.726
0.3497,-0.758
0.2998,-0.745
0.2498,-0.749
0.1995,-0.704
0.1649,-0.834
0.13,-1.027
0.0998,-1.113
0.0748,-1.248
0.06,-1.274
0.0499,-1.248
0.0397,-1.252
0.0299,-1.277
0.0207,-0.754
0.0124,-0.059
0.0033,0.812
0,1.127
0.0018,0.911
0.0079,0.38
0.018,-0.141
0.037,-0.419
0.065,-0.471
0.1,-0.512
0.13,-0.506
0.1649,-0.529
0.2,-0.545
0.2499,-0.574
0.2998,-0.588
0.3499,-0.599
0.3999,-0.618
0.4497,-0.59
0.4998,-0.535
0.5496,-0.511
0.5996,-0.155
0.6393,-0.104
0.6791,0.01
0.7193,0.112
0.7597,0.192
0.7994,0.279
0.8377,0.343
0.8785,0.375
0.9188,0.381
0.9487,0.364
0.9781,0.303
