,0.748
1,0.248
0.9784,0.186
0.9479,0.137
0.9184,0.098
0.8786,0.041
0.8385,-0.039
0.7982,-0.135
0.7494,-0.261
0.6993,-0.408
0.6493,-0.541
0.5993,-0.666
0.5493,-0.874
0.4996,-0.826
0.4492,-0.794
0.3993,-0.754
0.3497,-0.718
0.2998,-0.748
0.2498,-0.747
0.1995,-0.772
0.1649,-0.794
0.13,-0.874
0.0998,-0.986
0.0748,-1.05
0.06,-1.007
0.0499,-0.945
0.0397,-0.854
0.0299,-0.937
0.0207,-0.482
0.0124,0.161
0.0033,0.916
0,1.149
0.0018,0.861
0.0079,0.269
0.018,-0.269
0.037,-0.571
0.065,-0.625
0.1,-0.605
0.13,-0.655
0.1649,-0.677
0.2,-0.701
0.2499,-0.75
0.2998,-0.791
0.3499,-0.804
0.3999,-0.77
0.4497,-0.76
0.4998,-0.697
0.5496,-0.381
0.5996,-0.167
0.6393,-0.097
0.6791,0.025
0.7193,0.125
0.7597,0.211
0.7994,0.292
0.8377,0.353
0.8785,0.376
0.9188,0.383
0.9487,0.382
0.9781,0.33
