,0.34
0.9746,0.053271028
0.92,-0.005607477
0.8996,-0.035046729
0.7995,-0.064485981
0.7501,-0.098130841
0.6999,-0.148598131
0.6499,-0.165420561
0.5996,-0.207476636
0.5497,-0.211682243
0.4998,-0.257943925
0.4497,-0.287383178
0.4001,-0.36728972
0.3499,-0.455607477
0.2999,-0.560747664
0.2498,-0.661682243
0.1995,-0.821495327
0.1494,-0.956074766
0.0997,-1.11588785
0.0667,-1.28411215
0.0497,-1.418691589
0.0297,-1.59953271
0.0096,-1.856074766
0,0.406542056
0.0095,0.902803738
0.0297,0.469626168
0.0493,0.263551402
0.0664,0.162616822
0.0995,0.036448598
0.1501,-0.047663551
0.2002,-0.064485981
0.2498,-0.072897196
0.3004,-0.072897196
0.3501,-0.035046729
0.4001,0.007009346
0.45,0.019626168
0.5002,-0.001401869
0.5502,0.032242991
0.6001,0.023831776
0.6502,0.049065421
0.7001,0.036448598
0.7504,0.036448598
0.8003,0.044859813
0.9,0.044859813
0.9203,0.061682243
0.9752,0.049065421
