,0.39,,,,,
0.9746,0.039886666,,,,,
0.92,-0.003269515,,,,,
0.8996,-0.00404966,,,,,
0.7995,-0.062584146,,,,,
0.7501,-0.119026427,,,,,
0.6999,-0.175468707,,,,,
0.6499,-0.204735951,,,,,
0.5996,-0.261284614,,,,,
0.5497,-0.290445474,,,,,
0.4998,-0.346994138,,,,,
0.4497,-0.40347188,,,,,
0.4001,-0.514299696,,,,,
0.3499,-0.638768223,,,,,
0.2999,-0.790553631,,,,,
0.2498,-0.955802444,,,,,
0.1995,-1.175543176,,,,,
0.1494,-1.436028733,,,,,
0.0997,-1.778252169,,,,,
0.0667,-2.187757167,,,,,
0.0497,-2.528562158,,,,,
0.0297,-3.11443894,,,,,
0.0096,-5.060769719,,,,,
0,-1.265330728,,,,,
0.0095,1.075162205,,,,,
0.0297,0.885504322,,,,,
0.0493,0.6958819,,,,,
0.0664,0.56050317,,,,,
0.0995,0.412228412,,,,,
0.1501,0.278232665,,,,,
0.2002,0.225832952,,,,,
0.2498,0.1734687,,,,,
0.3004,0.161849274,,,,,
0.3501,0.150300769,,,,,
0.4001,0.193137801,,,,,
0.45,0.167948586,,,,,
0.5002,0.170040792,,,,,
0.5502,0.185702786,,,,,
0.6001,0.16047811,,,,,
0.6502,0.176211027,,,,,
0.7001,0.178196849,,,,,
0.7504,0.139473308,,,,,
0.8003,0.16870509,,,,,
0.9,0.132002832,,,,,
0.9203,0.132853899,,,,,
0.9752,0.080631492,,,,,
