,0.54
0.9746,0.078985575
0.92,0.06526466
0.8996,0.039407585
0.7995,0.029183357
0.7501,0.015595357
0.6999,0.00196646
0.6499,-0.007378485
0.5996,-0.021017606
0.5497,-0.021855993
0.4998,-0.035474665
0.4497,-0.04907289
0.4001,-0.07968423
0.3499,-0.144342253
0.2999,-0.187723655
0.2498,-0.218355444
0.1995,-0.265990126
0.1494,-0.279547453
0.0997,-0.237853048
0.0667,-0.17891037
0.0497,-0.11965074
0.0297,0.037383188
0.0096,0.530436393
0,1.057679418
0.0095,-0.681778834
0.0297,-0.940901686
0.0493,-0.983076629
0.0664,-0.914758333
0.0995,-0.837606304
0.1501,-0.738922048
0.2002,-0.635984514
0.2498,-0.533077652
0.3004,-0.459923296
0.3501,-0.361249264
0.4001,-0.275355519
0.45,-0.223457334
0.5002,-0.197089048
0.5502,-0.157950701
0.6001,-0.127329136
0.6502,-0.10096085
0.7001,-0.074613013
0.7504,-0.056720613
0.8003,-0.030362551
0.9,0.005381352
0.9203,0.022742093
0.9752,0.044949117
