,0.52
0.95,0.094162946
0.9,0.083401368
0.85,0.027013219
0.8,-0.000299791
0.75,-0.035785726
0.7,-0.108460988
0.65,-0.164614186
0.6,-0.204421534
0.55,-0.24819787
0.5,-0.242642966
0.45,-0.282391576
0.4,-0.280923135
0.35,-0.271281768
0.3,-0.253408739
0.25,-0.264287792
0.2,-0.287514339
0.15,-0.319031286
0.1,-0.404083411
0.075,-0.461029568
0.05,-0.46852701
0.025,-0.097279855
0.013,0.133471024
0,0.973599903
0.01,-0.487902045
0.025,-0.451300095
0.05,-0.320268973
0.075,-0.246947597
0.1,-0.222928091
0.15,-0.187324681
0.2,-0.168155228
0.25,-0.177855332
0.3,-0.195787099
0.35,-0.197108696
0.4,-0.2026636
0.45,-0.20416141
0.5,-0.160326337
0.55,-0.137070421
0.6,-0.105670949
0.65,-0.090558589
0.7,-0.067302673
0.75,-0.056423621
0.8,-0.03719543
0.85,-0.00573722
0.9,0.050504085
0.95,0.094221683
