,0.122
0.95181616,-0.082397004
0.90585619,0
0.85618977,-0.097378277
0.80874722,-0.104868914
0.76352854,-0.157303371
0.716827279,-0.209737828
0.676056338,-0.299625468
0.634544107,-0.262172285
0.593773165,-0.426966292
0.555967383,-0.441947566
0.517420311,-0.621722846
0.482579689,-0.74906367
0.446997776,-0.898876404
0.3795404,-1.205992509
0.349147517,-1.34082397
0.320237213,-1.558052434
0.290585619,-1.730337079
0.23869533,-1.940074906
0.214974055,-1.93258427
0.151223128,-1.737827715
0.131208302,-1.655430712
0.113417346,-1.640449438
0.09710897,-1.580524345
0.083024463,-1.505617978
0.068198666,-1.4082397
0.055596738,-1.303370787
0.042994811,-1.228464419
0.034840623,-1.168539326
0.023721275,-1.123595506
0.018532246,-1.093632959
0.011119348,-0.966292135
0.006671609,-0.853932584
0.002965159,-0.823970037
0.00074129,-0.172284644
0.00222387,0.72659176
0.016308377,0.996254682
0.029651594,0.876404494
0.04670126,0.756554307
0.067457376,0.65917603
0.09340252,0.449438202
0.122312824,0.329588015
0.154188288,0.202247191
0.19199407,0.06741573
0.229799852,-0.014981273
0.273535953,-0.06741573
0.318013343,-0.119850187
0.372127502,-0.134831461
0.42624166,-0.127340824
0.487027428,-0.08988764
0.548554485,0
0.615270571,0.142322097
0.683469236,0.277153558
0.756856931,0.359550562
0.833951075,0.382022472
0.916975537,0.337078652
