,0.4
1,0.146625245
0.9,0.010583294
0.8,-0.096907821
0.7,-0.221624873
0.6,-0.312128638
0.55,-0.428240674
0.5,-0.498973582
0.45,-0.552957725
0.4,-0.635174591
0.35,-0.722974377
0.3,-0.839006884
0.25,-0.989014092
0.2,-1.173155056
0.15,-1.493035763
0.125,-1.65309541
0.1,-1.892429356
0.08,-2.199394587
0.06,-2.585634118
0.04,-3.345674876
0.02,-3.765809578
0.01,-3.76070383
0,-1.779084922
0.01,1.013536794
0.04,0.839591421
0.06,0.704885553
0.1,0.54856376
0.2,0.373091433
0.35,0.268113428
0.7,0.163501255
0.9,0.15804558
1,0.152367224
