,0.76
1,-0.0112
0.9745,-0.033
0.9495,-0.0611
0.899,-0.1353
0.849,-0.1982
0.7985,-0.2569
0.7485,-0.3196
0.7,-0.3863
0.66,-0.44
0.62,-0.4977
0.5795,-0.5594
0.5395,-0.6248
0.5,-0.7974
0.46,-1.2066
0.42,-1.276
0.38,-1.2837
0.3397,-1.2724
0.2995,-1.2597
0.2595,-1.2435
0.22,-1.2406
0.17,-1.2377
0.14,-1.2152
0.099,-1.1863
0.0797,-1.1078
0.0645,-0.9694
0.0345,-0.7488
0.025,-0.5408
0.0155,-0.3604
0.0087,-0.2524
0.0032,0.1663
0,1.0792
0,1.0792
0.0032,1.0668
0.007,0.8568
0.0182,0.5411
0.0487,0.2979
0.0987,0.1363
0.15,0.0592
0.2,-0.0154
0.2492,-0.0868
0.3492,-0.1716
0.4492,-0.2072
0.55,-0.1104
0.645,0.0535
0.75,0.1855
0.8,0.223
0.849,0.2644
0.8992,0.2678
0.9495,0.2138
1,-0.0112
