,0.6
1,0.191504645
0.95,0.078498228
0.9,-0.046930371
0.8,-0.111081314
0.7,-0.231290106
0.65,-0.300689589
0.6,-0.3514127
0.55,-0.358615075
0.5,-0.409338186
0.45,-0.472540944
0.4,-0.517038598
0.35,-0.555339527
0.3,-0.631021933
0.25,-0.67546212
0.2,-0.682635763
0.15,-0.932630974
0.125,-1.088698401
0.1,-1.986083708
0.08,-1.979800785
0.06,-1.986457236
0.04,-1.949420554
0.02,-1.856440954
0.01,-1.669849631
0,0.47784695
0.01,0.913830093
0.04,0.553242027
0.06,0.503811895
0.1,0.398812374
0.2,0.257437027
0.35,0.160588066
0.5,0.126079877
0.7,0.036404559
0.8,-0.017699454
0.9,0.102336941
0.95,0.215458289
1,0.185250455
