,0.76
1,0.011
0.981,-0.014
0.972,-0.036
0.949,-0.128
0.932,-0.203
0.899,-0.331
0.85,-0.499
0.801,-0.606
0.75,-0.646
0.7,-0.612
0.652,-0.559
0.6,-0.557
0.549,-0.514
0.499,-0.493
0.448,-0.477
0.398,-0.462
0.351,-0.455
0.301,-0.445
0.25,-0.712
0.2,-0.948
0.15,-0.969
0.098,-1.001
0.072,-0.997
0.047,-0.947
0.028,-0.965
0.019,-0.875
0.012,-0.532
0.003,0.407
0,1.147
0,1.147
0.006,0.592
0.011,0.318
0.02,0.12
0.029,-0.039
0.048,-0.106
0.069,-0.164
0.102,-0.207
0.151,-0.21
0.199,-0.178
0.251,-0.174
0.299,-0.135
0.35,-0.137
0.4,-0.134
0.451,-0.146
0.5,-0.177
0.549,-0.184
0.598,-0.191
0.649,0.022
0.699,0.247
0.747,0.355
0.8,0.429
0.85,0.483
0.899,0.509
0.929,0.513
0.95,0.501
0.969,0.447
0.99,0.305
0.998,0.116
