,0.6
1,-0.006
0.981,-0.052
0.972,-0.09
0.949,-0.191
0.932,-0.262
0.899,-0.356
0.85,-0.452
0.801,-0.477
0.75,-0.485
0.7,-0.479
0.652,-0.46
0.6,-0.466
0.549,-0.452
0.499,-0.449
0.448,-0.445
0.398,-0.458
0.351,-0.47
0.301,-0.512
0.25,-0.544
0.2,-0.593
0.15,-0.67
0.098,-0.773
0.072,-0.896
0.047,-1.133
0.028,-1.38
0.019,-1.521
0.012,-1.261
0.003,-0.114
0,1.026
0,1.026
0.006,0.736
0.011,0.482
0.02,0.263
0.029,0.153
0.048,0.055
0.069,-0.019
0.102,-0.07
0.151,-0.09
0.199,-0.08
0.251,-0.086
0.299,-0.064
0.35,-0.064
0.4,-0.066
0.451,-0.083
0.5,-0.114
0.549,-0.125
0.598,-0.145
0.649,0.019
0.699,0.223
0.747,0.329
0.8,0.397
0.85,0.442
0.899,0.471
0.929,0.467
0.95,0.452
0.969,0.399
0.99,0.263
0.998,0.09
