,0.5
1,-0.02
0.981,-0.068
0.972,-0.097
0.949,-0.202
0.932,-0.269
0.899,-0.352
0.85,-0.445
0.801,-0.467
0.75,-0.472
0.7,-0.472
0.652,-0.462
0.6,-0.47
0.549,-0.46
0.499,-0.47
0.448,-0.472
0.398,-0.486
0.351,-0.51
0.301,-0.551
0.25,-0.589
0.2,-0.651
0.15,-0.743
0.098,-0.867
0.072,-1.028
0.047,-1.108
0.028,-1.642
0.019,-1.848
0.012,-2.034
0.003,-0.713
0,0.834
0,0.834
0.006,0.892
0.011,0.68
0.02,0.49
0.029,0.316
0.048,0.2
0.069,0.138
0.102,0.051
0.151,0.013
0.199,0.011
0.251,-0.008
0.299,0.008
0.35,-0.003
0.4,-0.008
0.451,-0.032
0.5,-0.06
0.549,-0.074
0.598,-0.096
0.649,0.047
0.699,0.229
0.747,0.332
0.8,0.401
0.85,0.439
0.899,0.458
0.929,0.461
0.95,0.445
0.969,0.391
0.99,0.249
0.998,0.083
