,0.74
1,0.057
0.989,0.025
0.972,-0.04
0.932,-0.2
0.899,-0.275
0.85,-0.371
0.801,-0.404
0.75,-0.414
0.7,-0.424
0.652,-0.413
0.6,-0.411
0.549,-0.382
0.499,-0.442
0.448,-0.844
0.398,-1.248
0.351,-1.278
0.301,-1.302
0.25,-1.312
0.2,-1.326
0.15,-1.37
0.098,-1.449
0.071,-1.474
0.046,-1.501
0.029,-1.488
0.016,-1.32
0.012,-1.139
0.003,-0.066
0,1.022
0,1.022
0.006,0.925
0.011,0.646
0.02,0.506
0.029,0.392
0.048,0.274
0.069,0.203
0.102,0.133
0.151,0.079
0.199,0.03
0.251,-0.004
0.299,-0.009
0.35,-0.041
0.4,-0.057
0.451,-0.086
0.5,-0.106
0.549,-0.09
0.598,-0.044
0.649,0.052
0.699,0.189
0.747,0.303
0.8,0.403
0.85,0.466
0.899,0.498
0.929,0.494
0.95,0.48
0.998,0.06
