,0.6
1,-0.0447
0.98,-0.103
0.97,-0.1424
0.95,-0.2118
0.93,-0.3327
0.9,-0.4386
0.85,-0.5061
0.8,-0.5363
0.75,-0.5411
0.7,-0.5223
0.65,-0.5068
0.6,-0.4957
0.55,-0.4891
0.5,-0.4994
0.45,-0.498
0.4,-0.5234
0.35,-0.5393
0.3,-0.5798
0.25,-0.62
0.2,-0.675
0.15,-0.7687
0.1,-0.8771
0.07,-1.0976
0.05,-0.9844
0.03,-1.9079
0.02,-2.1421
0.002,-0.3468
0,0.9588
0.004,0.8463
0.01,0.615
0.02,0.3933
0.03,0.2611
0.05,0.1668
0.07,0.0899
0.1,0.0198
0.15,-0.0213
0.2,-0.0181
0.25,-0.0187
0.3,-0.0173
0.35,-0.0173
0.4,-0.0334
0.45,-0.0394
0.5,-0.0621
0.55,-0.0902
0.6,-0.0776
0.65,0.0397
0.7,0.2642
0.75,0.3437
0.8,0.4121
0.85,0.4623
0.9,0.4905
0.93,0.4816
0.95,0.464
0.97,0.4249
0.98,0.3813
