xc,yb,surf,section,cp,std
0.95,0,U,1,-0.06,
0.85,0,U,1,-0.18,
0.75,0,U,1,-0.26,
0.65,0,U,1,-0.38,
0.5,0,U,1,-0.545,
0.35,0,U,1,-0.735,
0.225,0,U,1,-0.76,
0.15,0,U,1,-0.79,
0.08,0,U,1,-0.8,
0.03,0,U,1,-0.915,
0.01,0,U,1,-1,
0,0,U,1,0.41,
0.01,0,L,1,1,
0.03,0,L,1,0.925,
0.08,0,L,1,0.715,
0.15,0,L,1,0.575,
0.225,0,L,1,0.46,
0.35,0,L,1,0.315,
0.5,0,L,1,0.245,
0.65,0,L,1,0.205,
0.75,0,L,1,0.16,
0.85,0,L,1,0.15,
0.95,0,L,1,0.13,
0.95,0.105,U,2,0.025,
0.85,0.105,U,2,-0.08,
0.75,0.105,U,2,-0.195,
0.65,0.105,U,2,-0.315,
0.5,0.105,U,2,-0.48,
0.35,0.105,U,2,-0.68,
0.225,0.105,U,2,-0.86,
0.15,0.105,U,2,-0.94,
0.08,0.105,U,2,-1.18,
0.03,0.105,U,2,-1.84,
0.01,0.105,U,2,-2.31,
0,0.105,U,2,-1.7,
0.01,0.105,L,2,0.205,
0.03,0.105,L,2,0.61,
0.08,0.105,L,2,0.615,
0.15,0.105,L,2,0.49,
0.225,0.105,L,2,0.4,
0.35,0.105,L,2,0.275,
0.5,0.105,L,2,0.235,
0.65,0.105,L,2,0.185,
0.75,0.105,L,2,0.155,
0.85,0.105,L,2,0.135,
0.95,0.105,L,2,0.13,
0.95,0.21,U,3,0.075,
0.85,0.21,U,3,-0.035,
0.75,0.21,U,3,-0.145,
0.65,0.21,U,3,-0.26,
0.5,0.21,U,3,-0.44,
0.35,0.21,U,3,-0.675,
0.225,0.21,U,3,-0.88,
0.15,0.21,U,3,-1.08,
0.08,0.21,U,3,-1.41,
0.03,0.21,U,3,-2.23,
0.01,0.21,U,3,-3.04,
0,0.21,U,3,-2.95,
0.01,0.21,L,3,0.04,
0.03,0.21,L,3,0.5,
0.08,0.21,L,3,0.57,
0.15,0.21,L,3,0.465,
0.225,0.21,L,3,0.365,
0.35,0.21,L,3,0.25,
0.5,0.21,L,3,0.195,
0.65,0.21,L,3,0.17,
0.75,0.21,L,3,0.145,
0.85,0.21,L,3,0.14,
0.95,0.21,L,3,0.125,
0.7,0.87,U,4,-0.435,
0.5,0.87,U,4,-0.435,
0.35,0.87,U,4,-0.745,
0.25,0.87,U,4,-0.845,
0.15,0.87,U,4,-1.17,
0.1,0.87,U,4,-1.47,
0.05,0.87,U,4,-2.11,
0.025,0.87,U,4,-2.515,
0,0.87,U,4,-2.19,
0.025,0.87,L,4,-0.655,
0.05,0.87,L,4,-0.285,
0.1,0.87,L,4,-0.065,
0.15,0.87,L,4,-0.005,
0.25,0.87,L,4,0.05,
0.35,0.87,L,4,0.035,
0.5,0.87,L,4,0.06,
0.7,0.87,L,4,0.07,
