xc,yb,surf,section,cp
0.95,0,U,1,-0.006
0.85,0,U,1,-0.16
0.75,0,U,1,-0.225
0.65,0,U,1,-0.31
0.5,0,U,1,-0.41
0.35,0,U,1,-0.51
0.225,0,U,1,-0.48
0.15,0,U,1,-0.455
0.08,0,U,1,-0.385
0.03,0,U,1,-0.3
0.01,0,U,1,-0.135
0,0,U,1,0.875
0.01,0,L,1,0.87
0.03,0,L,1,0.63
0.08,0,L,1,0.37
0.15,0,L,1,0.235
0.225,0,L,1,0.145
0.35,0,L,1,0.03
0.5,0,L,1,-0.005
0.65,0,L,1,0.005
0.75,0,L,1,0.02
0.85,0,L,1,0.04
0.95,0,L,1,0.055
0.95,0.068,U,2,0.035
0.85,0.068,U,2,-0.065
0.75,0.068,U,2,-0.16
0.65,0.068,U,2,-0.245
0.5,0.068,U,2,-0.365
0.35,0.068,U,2,-0.5
0.225,0.068,U,2,-0.58
0.15,0.068,U,2,-0.6
0.08,0.068,U,2,-0.63
0.03,0.068,U,2,-0.77
0.01,0.068,U,2,-0.735
0,0.068,U,2,0.055
0.01,0.068,L,2,0.56
0.03,0.068,L,2,0.49
0.08,0.068,L,2,0.31
0.15,0.068,L,2,0.165
0.225,0.068,L,2,0.09
0.35,0.068,L,2,0.005
0.5,0.068,L,2,-0.005
0.65,0.068,L,2,0.025
0.75,0.068,L,2,0.055
0.85,0.068,L,2,0.06
0.95,0.068,L,2,0.085
0.95,0.135,U,3,0.055
0.85,0.135,U,3,-0.025
0.75,0.135,U,3,-0.115
0.65,0.135,U,3,-0.2
0.5,0.135,U,3,-0.335
0.35,0.135,U,3,-0.495
0.225,0.135,U,3,-0.59
0.08,0.135,U,3,-0.74
0.03,0.135,U,3,-0.96
0.01,0.135,U,3,-0.995
0,0.135,U,3,-0.315
0.01,0.135,L,3,0.54
0.03,0.135,L,3,0.49
0.08,0.135,L,3,0.28
0.15,0.135,L,3,0.145
0.225,0.135,L,3,0.07
0.35,0.135,L,3,-0.005
0.5,0.135,L,3,0.005
0.65,0.135,L,3,0.045
0.75,0.135,L,3,0.04
0.85,0.135,L,3,0.07
0.95,0.135,L,3,0.085
0.95,0.271,U,4,0.06
0.85,0.271,U,4,0.005
0.75,0.271,U,4,-0.07
0.65,0.271,U,4,-0.15
0.5,0.271,U,4,-0.29
0.35,0.271,U,4,-0.49
0.225,0.271,U,4,-0.585
0.15,0.271,U,4,-0.725
0.08,0.271,U,4,-0.81
0.03,0.271,U,4,-1.1
0.01,0.271,U,4,-1.275
0,0.271,U,4,-0.43
0.01,0.271,L,4,0.495
0.03,0.271,L,4,0.47
0.08,0.271,L,4,0.29
0.15,0.271,L,4,0.15
0.225,0.271,L,4,0.075
0.35,0.271,L,4,0.005
0.5,0.271,L,4,0.015
0.65,0.271,L,4,0.045
0.75,0.271,L,4,0.055
0.85,0.271,L,4,0.065
0.95,0.271,L,4,0.085
0.95,0.406,U,5,0.065
0.85,0.406,U,5,0.01
0.75,0.406,U,5,-0.055
0.65,0.406,U,5,-0.12
0.5,0.406,U,5,-0.26
0.35,0.406,U,5,-0.44
0.225,0.406,U,5,-0.63
0.15,0.406,U,5,-0.73
0.03,0.406,U,5,-1.195
0.01,0.406,U,5,-1.355
0,0.406,U,5,-0.615
0.01,0.406,L,5,0.495
0.03,0.406,L,5,0.49
0.08,0.406,L,5,0.3
0.15,0.406,L,5,0.165
0.225,0.406,L,5,0.085
0.35,0.406,L,5,0.01
0.5,0.406,L,5,0.025
0.65,0.406,L,5,0.045
0.75,0.406,L,5,0.06
0.85,0.406,L,5,0.055
0.95,0.406,L,5,0.07
0.95,0.61,U,6,0.08
0.85,0.61,U,6,0.025
0.75,0.61,U,6,-0.025
0.65,0.61,U,6,-0.1
0.5,0.61,U,6,-0.23
0.35,0.61,U,6,-0.42
0.225,0.61,U,6,-0.595
0.15,0.61,U,6,-0.72
0.08,0.61,U,6,-0.905
0.03,0.61,U,6,-1.23
0.01,0.61,U,6,-1.46
0,0.61,U,6,-0.455
0.01,0.61,L,6,0.495
0.03,0.61,L,6,0.48
0.08,0.61,L,6,0.3
0.15,0.61,L,6,0.16
0.225,0.61,L,6,0.075
0.35,0.61,L,6,-0.005
0.5,0.61,L,6,-0.005
0.65,0.61,L,6,0.02
0.75,0.61,L,6,0.045
0.85,0.61,L,6,0.075
0.95,0.61,L,6,0.085
0.95,0.831,U,7,0.09
0.85,0.831,U,7,0.06
0.75,0.831,U,7,-0.04
