xc,yb,surf,section,cp,std
0.95,0,U,1,0.005,
0.75,0,U,1,-0.165,
0.65,0,U,1,-0.22,
0.5,0,U,1,-0.325,
0.35,0,U,1,-0.45,
0.225,0,U,1,-0.49,
0.15,0,U,1,-0.44,
0.08,0,U,1,-0.43,
0.03,0,U,1,-0.165,
0.01,0,U,1,0.155,
0,0,U,1,0.95,
0.01,0,L,1,0.825,
0.03,0,L,1,0.51,
0.08,0,L,1,0.225,
0.15,0,L,1,0.13,
0.225,0,L,1,0.035,
0.35,0,L,1,-0.005,
0.5,0,L,1,0,
0.65,0,L,1,0.035,
0.75,0,L,1,0.055,
0.85,0,L,1,0.035,
0.95,0,L,1,0.075,
0.85,0.041,U,2,-0.035,
0.75,0.041,U,2,-0.115,
0.65,0.041,U,2,-0.17,
0.5,0.041,U,2,-0.295,
0.15,0.041,U,2,-0.58,
0.08,0.041,U,2,-0.585,
0.03,0.041,U,2,-0.63,
0.01,0.041,U,2,-0.475,
0,0.041,U,2,0.245,
0.01,0.041,L,2,0.495,
0.03,0.041,L,2,0.35,
0.08,0.041,L,2,0.18,
0.15,0.041,L,2,0.065,
0.225,0.041,L,2,0.01,
0.35,0.041,L,2,0.025,
0.5,0.041,L,2,0.02,
0.65,0.041,L,2,0.05,
0.75,0.041,L,2,0.07,
0.85,0.041,L,2,0.085,
0.95,0.041,L,2,0.085,
0.95,0.163,U,3,0.075,
0.85,0.163,U,3,0.015,
0.75,0.163,U,3,-0.05,
0.65,0.163,U,3,-0.13,
0.5,0.163,U,3,-0.255,
0.35,0.163,U,3,-0.445,
0.225,0.163,U,3,-0.54,
0.08,0.163,U,3,-0.74,
0.03,0.163,U,3,-0.855,
0.01,0.163,U,3,-0.92,
0,0.163,U,3,-0.14,
0.01,0.163,L,3,0.515,
0.03,0.163,L,3,0.39,
0.08,0.163,L,3,0.205,
0.15,0.163,L,3,0.095,
0.225,0.163,L,3,0.025,
0.35,0.163,L,3,-0.035,
0.5,0.163,L,3,-0.005,
0.65,0.163,L,3,0.04,
0.75,0.163,L,3,0.04,
0.85,0.163,L,3,0.075,
0.95,0.163,L,3,0.08,
