xc,yb,surf,section,cp
0.95,0.14,U,1,0.060061063
0.78,0.14,U,1,-0.117975384
0.6,0.14,U,1,-0.304407976
0.4,0.14,U,1,-0.570842477
0.2,0.14,U,1,-1.032725885
0.1,0.14,U,1,-1.539833985
0.05,0.14,U,1,-2.069220494
0.0175,0.14,U,1,-3.571462647
0,0.14,U,1,-2.097652896
0.0175,0.14,L,1,1.005963171
0.05,0.14,L,1,0.779887415
0.1,0.14,L,1,0.532344242
0.2,0.14,L,1,0.244919378
0.4,0.14,L,1,0.091451197
0.6,0.14,L,1,0.03525427
0.78,0.14,L,1,0.051569507
0.95,0.14,L,1,0.110962694
0.95,0.36,U,2,0.051321032
0.78,0.36,U,2,-0.12563215
0.6,0.36,U,2,-0.336376812
0.4,0.36,U,2,-0.627708659
0.2,0.36,U,2,-1.148294248
0.1,0.36,U,2,-1.665484733
0.05,0.36,U,2,-2.183082985
0.0175,0.36,U,2,-3.855761261
0,0.36,U,2,-2.216661717
0.0175,0.36,L,2,0.997686365
0.05,0.36,L,2,0.789308525
0.1,0.36,L,2,0.529871154
0.2,0.36,L,2,0.248742349
0.4,0.36,L,2,0.077231971
0.6,0.36,L,2,0.037261933
0.78,0.36,L,2,0.044264889
0.95,0.36,L,2,0.10223873
0.95,0.58,U,3,0.029596938
0.78,0.58,U,3,-0.138885984
0.6,0.58,U,3,-0.353866427
0.4,0.58,U,3,-0.645108662
0.2,0.58,U,3,-1.11048129
0.1,0.58,U,3,-1.657365768
0.05,0.58,U,3,-2.149595264
0.0175,0.58,U,3,-3.818025895
0,0.58,U,3,-2.200108766
0.0175,0.58,L,3,0.988746889
0.05,0.58,L,3,0.805873371
0.1,0.58,L,3,0.520843356
0.2,0.58,L,3,0.269572675
0.4,0.58,L,3,0.05551256
0.6,0.58,L,3,0.015980255
0.78,0.58,L,3,0.02246439
0.95,0.58,L,3,0.059340292
0.95,0.8,U,4,0.02925792
0.78,0.8,U,4,-0.132293171
0.4,0.8,U,4,-0.56031474
0.2,0.8,U,4,-1.008954126
0.1,0.8,U,4,-1.462994698
0.05,0.8,U,4,-2.092313628
0.0175,0.8,U,4,-3.111863768
0,0.8,U,4,-1.640013638
0.0175,0.8,L,4,1.033950313
0.05,0.8,L,4,0.763747454
0.1,0.8,L,4,0.493472819
0.2,0.8,L,4,0.222300977
0.4,0.8,L,4,0.051867536
0.6,0.8,L,4,0.023461963
0.78,0.8,L,4,0.046340741
0.95,0.8,L,4,0.102147016
0.95,0.9,U,5,-0.009171241
0.78,0.9,U,5,-0.176065178
0.6,0.9,U,5,-0.306549831
0.4,0.9,U,5,-0.520860511
0.2,0.9,U,5,-0.913446723
0.1,0.9,U,5,-1.408546041
0.05,0.9,U,5,-2.115169715
0.0175,0.9,U,5,-3.00022645
0,0.9,U,5,-1.564826347
0.0175,0.9,L,5,0.952425727
0.05,0.9,L,5,0.689989416
0.1,0.9,L,5,0.369237207
0.2,0.9,L,5,0.1320255
0.6,0.9,L,5,-0.040598617
0.78,0.9,L,5,-0.034002018
0.95,0.9,L,5,0.049203732
0.95,0.95,U,6,-0.098729228
0.78,0.95,U,6,-0.223851417
0.6,0.95,U,6,-0.298142717
0.4,0.95,U,6,-0.474095797
0.2,0.95,U,6,-0.806451613
0.1,0.95,U,6,-1.213098729
0.05,0.95,U,6,-1.93255132
0,0.95,U,6,-2.616813294
0.0175,0.95,L,6,0.937438905
0.05,0.95,L,6,0.558162268
0.1,0.95,L,6,0.249266862
0.2,0.95,L,6,0.069403715
0.4,0.95,L,6,-0.071358749
0.6,0.95,L,6,-0.083088954
0.78,0.95,L,6,-0.083088954
0.95,0.95,L,6,-0.008797654
0.95,0.99,U,7,-1.018834704
0.78,0.99,U,7,-0.536851468
0.6,0.99,U,7,-0.35793999
0.4,0.99,U,7,-0.388150418
0.2,0.99,U,7,-0.609995241
0.1,0.99,U,7,-0.894237496
0.05,0.99,U,7,-1.323310871
0.0175,0.99,U,7,-1.932939405
0.0175,0.99,L,7,0.821691898
0.05,0.99,L,7,0.424046106
0.1,0.99,L,7,0.156292669
0.2,0.99,L,7,-0.146602237
0.6,0.99,L,7,-0.173837395
0.78,0.99,L,7,-0.179351006
0.95,0.99,L,7,-0.16314307
