xc,yb,surf,section,cp
0.9,0.168,U,1,0.03362513
0.8,0.168,U,1,-0.070621743
0.7,0.168,U,1,-0.204748484
0.6,0.168,U,1,-0.338860274
0.5,0.168,U,1,-0.473031868
0.42,0.168,U,1,-0.594644499
0.38,0.168,U,1,-0.697396258
0.34,0.168,U,1,-0.776256083
0.3,0.168,U,1,-0.873079712
0.27,0.168,U,1,-0.945607727
0.24,0.168,U,1,-1.042147284
0.21,0.168,U,1,-1.162563823
0.18,0.168,U,1,-1.29507584
0.15,0.168,U,1,-1.439503921
0.12,0.168,U,1,-1.655787215
0.09,0.168,U,1,-1.997757328
0.06,0.168,U,1,-2.459635641
0.03,0.168,U,1,-3.693837885
0.0075,0.168,U,1,-4.496744388
0,0.168,U,1,-2.377150162
0.0075,0.168,L,1,0.748686168
0.09,0.168,L,1,0.612952179
0.24,0.168,L,1,0.27519829
0.3,0.168,L,1,0.210796223
0.34,0.168,L,1,0.181783522
0.38,0.168,L,1,0.122861052
0.42,0.168,L,1,0.111901861
0.5,0.168,L,1,0.101839739
0.6,0.168,L,1,0.080250282
0.8,0.168,L,1,0.031143239
0.9,0.168,L,1,0.147306177
1,0.168,L,1,0.053981117
0.9,0.336,U,2,0.014042993
0.8,0.336,U,2,-0.103710864
0.7,0.336,U,2,-0.096551547
0.6,0.336,U,2,-0.34512097
0.5,0.336,U,2,-0.468828673
0.42,0.336,U,2,-0.586817742
0.38,0.336,U,2,-0.687408349
0.34,0.336,U,2,-0.776135365
0.3,0.336,U,2,-0.876755374
0.27,0.336,U,2,-0.953692304
0.24,0.336,U,2,-1.03657573
0.21,0.336,U,2,-1.119503258
0.18,0.336,U,2,-1.26776139
0.12,0.336,U,2,-1.606035436
0.09,0.336,U,2,-1.891114435
0.06,0.336,U,2,-2.378352255
0.03,0.336,U,2,-2.823971951
0.0075,0.336,U,2,-5.041765132
0,0.336,U,2,-2.276578229
0.0075,0.336,L,2,0.773937588
0.03,0.336,L,2,0.946091961
0.06,0.336,L,2,0.761397757
0.09,0.336,L,2,0.606428684
0.12,0.336,L,2,0.493092435
0.15,0.336,L,2,0.415405762
0.18,0.336,L,2,0.367503023
0.21,0.336,L,2,0.307663189
0.27,0.336,L,2,0.2237066
0.38,0.336,L,2,0.115353941
0.5,0.336,L,2,0.072309835
0.6,0.336,L,2,0.06517992
0.7,0.336,L,2,0.034286071
0.8,0.336,L,2,0.027134105
0.9,0.336,L,2,0.037821627
1,0.336,L,2,0.096103171
0.975,0.497,U,3,0.050258662
0.95,0.497,U,3,0.03935438
0.9,0.497,U,3,-0.011830966
0.85,0.497,U,3,-0.045148404
0.8,0.497,U,3,-0.078491035
0.75,0.497,U,3,-0.13545601
0.7,0.497,U,3,-0.284869859
0.65,0.497,U,3,-0.335929248
0.6,0.497,U,3,-0.398825001
0.55,0.497,U,3,-0.485443864
0.5,0.497,U,3,-0.548213659
0.45,0.497,U,3,-0.600104364
0.42,0.497,U,3,-0.634731756
0.4,0.497,U,3,-0.657497593
0.38,0.497,U,3,-0.697929806
