xc,yb,section,surf,cp,std
1,0.6,1,U,0.174,0.003
0.95,0.6,1,U,0.04,0.003
0.85,0.6,1,U,-0.055,0.004
0.8,0.6,1,U,0.004,0.007
0.75,0.6,1,U,-0.044,0.006
0.7,0.6,1,U,-0.165,0.004
0.65,0.6,1,U,-0.094,0.003
0.6,0.6,1,U,-0.117,0.003
0.55,0.6,1,U,-0.256,0.003
0.5,0.6,1,U,-0.199,0.004
0.45,0.6,1,U,-0.238,0.004
0.4,0.6,1,U,-0.282,0.003
0.35,0.6,1,U,-0.312,0.003
0.3,0.6,1,U,-0.432,0.004
0.25,0.6,1,U,-0.405,0.004
0.2,0.6,1,U,-0.529,0.004
0.15,0.6,1,U,-0.492,0.005
0.1,0.6,1,U,-0.522,0.006
0.075,0.6,1,U,-0.653,0.008
0.05,0.6,1,U,-0.577,0.009
0.04,0.6,1,U,-0.51,0.01
0.03,0.6,1,U,-0.485,0.012
0.02,0.6,1,U,-0.424,0.014
0.01,0.6,1,U,-0.32,0.017
0,0.6,1,U,1.037,0.006
0.01,0.6,1,L,0.436,0.012
0.02,0.6,1,L,0.148,0.011
0.05,0.6,1,L,-0.113,0.008
0.1,0.6,1,L,-0.295,0.006
0.2,0.6,1,L,-0.329,0.005
0.3,0.6,1,L,-0.199,0.004
0.4,0.6,1,L,-0.166,0.003
0.5,0.6,1,L,-0.229,0.004
0.6,0.6,1,L,-0.161,0.003
0.7,0.6,1,L,-0.121,0.003
0.8,0.6,1,L,0.037,0.003
1,0.95,2,U,0.131,0.004
0.95,0.95,2,U,0.027,0.004
0.9,0.95,2,U,0.017,0.003
0.85,0.95,2,U,0.061,0.003
0.8,0.95,2,U,0.024,0.003
0.75,0.95,2,U,-0.064,0.003
0.7,0.95,2,U,0.002,0.004
0.65,0.95,2,U,-0.123,0.003
0.6,0.95,2,U,-0.056,0.003
0.55,0.95,2,U,-0.164,0.003
0.5,0.95,2,U,-0.185,0.003
0.45,0.95,2,U,-0.14,0.003
0.4,0.95,2,U,-0.265,0.003
0.35,0.95,2,U,-0.313,0.004
0.25,0.95,2,U,-0.38,0.004
0.2,0.95,2,U,-0.307,0.004
0.15,0.95,2,U,-0.347,0.005
0.1,0.95,2,U,-0.392,0.005
0.075,0.95,2,U,-0.394,0.006
0.05,0.95,2,U,-0.371,0.008
0.04,0.95,2,U,-0.486,0.009
0.03,0.95,2,U,-0.448,0.01
0.02,0.95,2,U,-0.397,0.012
0.01,0.95,2,U,-0.098,0.014
0,0.95,2,U,1.056,0.005
0.01,0.95,2,L,0.337,0.011
0.02,0.95,2,L,0.168,0.01
0.03,0.95,2,L,0.022,0.009
0.05,0.95,2,L,-0.158,0.007
0.1,0.95,2,L,-0.304,0.005
0.2,0.95,2,L,-0.18,0.004
0.3,0.95,2,L,-0.286,0.004
0.4,0.95,2,L,-0.218,0.003
0.5,0.95,2,L,-0.21,0.004
0.6,0.95,2,L,-0.054,0.003
0.7,0.95,2,L,-0.026,0.003
0.8,0.95,2,L,0.01,0.004
0.9,0.95,2,L,0.071,0.003
0.95,0.95,2,L,0.07,0.003
