xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,
1,0.6,1,U,0.19,0.003,,,,,,,,,,,,,,,,
0.95,0.6,1,U,0.082,0.005,,,,,,,,,,,,,,,,
0.85,0.6,1,U,-0.008,0.005,,,,,,,,,,,,,,,,
0.8,0.6,1,U,-0.01,0.007,,,,,,,,,,,,,,,,
0.75,0.6,1,U,-0.05,0.007,,,,,,,,,,,,,,,,
0.7,0.6,1,U,-0.107,0.004,,,,,,,,,,,,,,,,
0.65,0.6,1,U,-0.102,0.003,,,,,,,,,,,,,,,,
0.6,0.6,1,U,-0.128,0.004,,,,,,,,,,,,,,,,
0.55,0.6,1,U,-0.185,0.005,,,,,,,,,,,,,,,,
0.5,0.6,1,U,-0.191,0.004,,,,,,,,,,,,,,,,
0.45,0.6,1,U,-0.221,0.003,,,,,,,,,,,,,,,,
0.4,0.6,1,U,-0.251,0.003,,,,,,,,,,,,,,,,
0.35,0.6,1,U,-0.279,0.003,,,,,,,,,,,,,,,,
0.3,0.6,1,U,-0.331,0.004,,,,,,,,,,,,,,,,
0.25,0.6,1,U,-0.337,0.004,,,,,,,,,,,,,,,,
0.2,0.6,1,U,-0.394,0.004,,,,,,,,,,,,,,,,
0.15,0.6,1,U,-0.38,0.005,,,,,,,,,,,,,,,,
0.1,0.6,1,U,-0.373,0.006,,,,,,,,,,,,,,,,
0.075,0.6,1,U,-0.402,0.008,,,,,,,,,,,,,,,,
0.05,0.6,1,U,-0.29,0.009,,,,,,,,,,,,,,,,
0.04,0.6,1,U,-0.254,0.009,,,,,,,,,,,,,,,,
0.03,0.6,1,U,-0.206,0.01,,,,,,,,,,,,,,,,
0.02,0.6,1,U,-0.104,0.012,,,,,,,,,,,,,,,,
0.01,0.6,1,U,0.111,0.014,,,,,,,,,,,,,,,,
0,0.6,1,U,1.066,0.004,,,,,,,,,,,,,,,,
0.01,0.6,1,L,0.132,0.013,,,,,,,,,,,,,,,,
0.02,0.6,1,L,-0.138,0.013,,,,,,,,,,,,,,,,
0.05,0.6,1,L,-0.288,0.009,,,,,,,,,,,,,,,,
0.1,0.6,1,L,-0.419,0.006,,,,,,,,,,,,,,,,
0.2,0.6,1,L,-0.399,0.005,,,,,,,,,,,,,,,,
0.3,0.6,1,L,-0.307,0.004,,,,,,,,,,,,,,,,
0.4,0.6,1,L,-0.248,0.004,,,,,,,,,,,,,,,,
0.5,0.6,1,L,-0.221,0.005,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.155,0.004,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.1,0.004,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.004,0.005,,,,,,,,,,,,,,,,
1,0.95,2,U,0.097,0.003,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.071,0.004,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.041,0.003,,,,,,,,,,,,,,,,
0.85,0.95,2,U,0.037,0.003,,,,,,,,,,,,,,,,
0.8,0.95,2,U,0.004,0.003,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.042,0.003,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.034,0.004,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.089,0.004,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.081,0.004,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.129,0.003,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.152,0.003,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.153,0.003,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.211,0.004,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.239,0.004,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.296,0.004,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.279,0.005,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.308,0.005,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.317,0.005,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.301,0.006,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.243,0.007,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.278,0.008,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.218,0.009,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.131,0.011,,,,,,,,,,,,,,,,
0.01,0.95,2,U,0.15,0.013,,,,,,,,,,,,,,,,
0,0.95,2,U,1.064,0.004,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.131,0.013,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.079,0.011,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.19,0.01,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.279,0.008,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.357,0.005,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.275,0.004,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.269,0.004,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.201,0.004,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.167,0.004,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.084,0.003,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.042,0.003,,,,,,,,,,,,,,,,
0.8,0.95,2,L,0.004,0.004,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.069,0.004,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.096,0.003,,,,,,,,,,,,,,,,
