xc,yb,surf,section,cp,
0.9,0.309,U,1,-0.199,1
0.8,0.309,U,1,-0.351,2
0.7,0.309,U,1,-0.317,3
0.62,0.309,U,1,-0.442,4
0.56,0.309,U,1,-0.95,5
0.5,0.309,U,1,-0.925,6
0.44,0.309,U,1,-1.045,7
0.38,0.309,U,1,-1.005,8
0.32,0.309,U,1,-0.048,9
0.26,0.309,U,1,-1.054,10
0.2,0.309,U,1,-1.078,11
0.1,0.309,U,1,-1.072,12
0.05,0.309,U,1,-1.024,13
0.0025,0.309,U,1,-0.841,14
0,0.309,U,1,1.164,15
0.025,0.309,L,1,0.144,
0.05,0.309,L,1,-0.073,
0.1,0.309,L,1,-0.213,
0.2,0.309,L,1,-0.274,
0.26,0.309,L,1,-0.277,
0.32,0.309,L,1,-0.268,
0.38,0.309,L,1,-0.25,
0.44,0.309,L,1,-0.323,
0.5,0.309,L,1,-0.354,
0.56,0.309,L,1,-0.263,
0.62,0.309,L,1,0.101,
0.7,0.309,L,1,0.2,
0.8,0.309,L,1,0.284,
0.9,0.309,L,1,0.4,
0.9,0.588,U,2,-0.233,
0.8,0.588,U,2,-0.384,
0.7,0.588,U,2,-0.358,
0.62,0.588,U,2,-0.308,
0.56,0.588,U,2,-0.331,
0.5,0.588,U,2,-0.59,
0.44,0.588,U,2,-1.021,
0.38,0.588,U,2,-1.044,
0.32,0.588,U,2,-0.048,
0.26,0.588,U,2,-1.06,
0.2,0.588,U,2,-1.046,
0.1,0.588,U,2,-1.057,
0.05,0.588,U,2,-1.028,
0.0025,0.588,U,2,-0.956,
0,0.588,U,2,1.139,
0.025,0.588,L,2,0.088,
0.05,0.588,L,2,-0.005,
0.1,0.588,L,2,-0.223,
0.2,0.588,L,2,-0.289,
0.26,0.588,L,2,-0.26,
0.32,0.588,L,2,-0.293,
0.38,0.588,L,2,-0.32,
0.44,0.588,L,2,-0.256,
0.5,0.588,L,2,-0.342,
0.56,0.588,L,2,-0.201,
0.62,0.588,L,2,-0.013,
0.7,0.588,L,2,0.191,
0.8,0.588,L,2,0.268,
0.9,0.588,L,2,0.393,
0.9,0.809,U,3,-0.277,
0.8,0.809,U,3,-0.428,
0.7,0.809,U,3,-0.365,
0.62,0.809,U,3,-0.336,
0.56,0.809,U,3,-0.323,
0.5,0.809,U,3,-0.343,
0.44,0.809,U,3,-0.368,
0.38,0.809,U,3,-0.463,
0.32,0.809,U,3,-0.034,
0.26,0.809,U,3,-1.019,
0.2,0.809,U,3,-1.065,
0.1,0.809,U,3,-1.096,
0.05,0.809,U,3,-1.108,
0.0025,0.809,U,3,-0.934,
0,0.809,U,3,1.146,
0.025,0.809,L,3,0.092,
0.05,0.809,L,3,-0.115,
0.1,0.809,L,3,-0.29,
0.2,0.809,L,3,-0.29,
0.26,0.809,L,3,-0.277,
0.32,0.809,L,3,-0.262,
0.38,0.809,L,3,-0.274,
0.44,0.809,L,3,-0.001,
0.5,0.809,L,3,-0.374,
0.56,0.809,L,3,-0.318,
0.62,0.809,L,3,-0.157,
0.7,0.809,L,3,0.156,
0.8,0.809,L,3,0.26,
0.9,0.809,L,3,0.379,
0.9,0.951,U,4,-0.528,
0.8,0.951,U,4,-0.337,
0.7,0.951,U,4,-0.251,
0.62,0.951,U,4,-0.241,
0.56,0.951,U,4,-0.258,
0.5,0.951,U,4,-0.286,
0.44,0.951,U,4,-0.333,
0.38,0.951,U,4,-0.356,
0.32,0.951,U,4,-0.02,
0.26,0.951,U,4,-0.568,
0.2,0.951,U,4,-0.62,
0.1,0.951,U,4,-1.115,
0.05,0.951,U,4,-1.108,
0.0025,0.951,U,4,-0.904,
0,0.951,U,4,1.15,
0.025,0.951,L,4,0.028,
0.05,0.951,L,4,-0.227,
0.1,0.951,L,4,-0.327,
0.2,0.951,L,4,-0.312,
0.26,0.951,L,4,-0.272,
0.32,0.951,L,4,-0.26,
0.38,0.951,L,4,-0.266,
0.44,0.951,L,4,-0.326,
0.5,0.951,L,4,-0.335,
0.56,0.951,L,4,-0.369,
0.62,0.951,L,4,-0.189,
0.7,0.951,L,4,0.138,
0.8,0.951,L,4,0.205,
0.9,0.951,L,4,0.334,
