xc,yb,surf,section,cp
0.9,0.309,U,1,-0.268
0.8,0.309,U,1,-0.315
0.7,0.309,U,1,-0.91
0.62,0.309,U,1,-0.829
0.56,0.309,U,1,-0.789
0.5,0.309,U,1,-0.757
0.44,0.309,U,1,-0.754
0.38,0.309,U,1,-0.764
0.32,0.309,U,1,-0.808
0.26,0.309,U,1,-0.846
0.2,0.309,U,1,-0.753
0.1,0.309,U,1,-0.762
0.05,0.309,U,1,-0.711
0.0025,0.309,U,1,-0.476
0,0.309,U,1,1.232
0.025,0.309,L,1,-0.092
0.05,0.309,L,1,-0.328
0.1,0.309,L,1,-0.44
0.2,0.309,L,1,-0.412
0.26,0.309,L,1,-0.458
0.32,0.309,L,1,-0.425
0.38,0.309,L,1,-0.42
0.44,0.309,L,1,-0.417
0.5,0.309,L,1,-0.43
0.56,0.309,L,1,-0.367
0.62,0.309,L,1,0.186
0.7,0.309,L,1,0.228
0.8,0.309,L,1,0.42
0.9,0.309,L,1,0.54
0.9,0.588,U,2,-0.304
0.8,0.588,U,2,-0.509
0.7,0.588,U,2,-0.427
0.62,0.588,U,2,-0.305
0.56,0.588,U,2,-0.687
0.5,0.588,U,2,-0.885
0.44,0.588,U,2,-0.779
0.38,0.588,U,2,-0.841
0.32,0.588,U,2,-0.869
0.26,0.588,U,2,-0.858
0.2,0.588,U,2,-0.764
0.1,0.588,U,2,-0.747
0.05,0.588,U,2,-0.669
0.0025,0.588,U,2,-0.659
0,0.588,U,2,1.186
0.025,0.588,L,2,-0.167
0.05,0.588,L,2,-0.167
0.1,0.588,L,2,-0.394
0.2,0.588,L,2,-0.49
0.26,0.588,L,2,-0.455
0.32,0.588,L,2,-0.456
0.38,0.588,L,2,-0.474
0.44,0.588,L,2,-0.363
0.5,0.588,L,2,-0.449
0.56,0.588,L,2,-0.463
0.62,0.588,L,2,-0.037
0.7,0.588,L,2,0.247
0.8,0.588,L,2,0.458
0.9,0.588,L,2,0.607
0.9,0.809,U,3,-0.296
0.8,0.809,U,3,-0.51
0.7,0.809,U,3,-0.378
0.62,0.809,U,3,-0.372
0.56,0.809,U,3,-0.407
0.5,0.809,U,3,-0.429
0.44,0.809,U,3,-0.402
0.38,0.809,U,3,-0.535
0.32,0.809,U,3,-0.704
0.26,0.809,U,3,-0.783
0.2,0.809,U,3,-0.834
0.1,0.809,U,3,-0.821
0.05,0.809,U,3,-0.734
0.0025,0.809,U,3,-0.667
0,0.809,U,3,1.196
0.025,0.809,L,3,-0.108
0.05,0.809,L,3,-0.332
0.1,0.809,L,3,-0.51
0.2,0.809,L,3,-0.48
0.26,0.809,L,3,-0.412
0.32,0.809,L,3,-0.434
0.38,0.809,L,3,-0.36
0.44,0.809,L,3,0
0.5,0.809,L,3,-0.457
0.56,0.809,L,3,-0.338
0.62,0.809,L,3,-0.042
0.7,0.809,L,3,0.185
0.8,0.809,L,3,0.296
0.9,0.809,L,3,0.483
0.9,0.951,U,4,-0.443
0.8,0.951,U,4,-0.309
0.7,0.951,U,4,-0.265
0.62,0.951,U,4,-0.252
0.56,0.951,U,4,-0.273
0.5,0.951,U,4,-0.309
0.44,0.951,U,4,-0.33
0.38,0.951,U,4,-0.332
0.32,0.951,U,4,-0.396
0.26,0.951,U,4,-0.453
0.2,0.951,U,4,-0.538
0.1,0.951,U,4,-0.853
0.05,0.951,U,4,-0.848
0.0025,0.951,U,4,-0.585
0,0.951,U,4,1.188
0.025,0.951,L,4,-0.145
0.05,0.951,L,4,-0.419
0.1,0.951,L,4,-0.49
0.2,0.951,L,4,-0.435
0.26,0.951,L,4,-0.438
0.32,0.951,L,4,-0.347
0.38,0.951,L,4,-0.303
0.44,0.951,L,4,-0.358
0.5,0.951,L,4,-0.426
0.56,0.951,L,4,-0.388
0.62,0.951,L,4,-0.155
0.7,0.951,L,4,0.109
0.8,0.951,L,4,0.33
0.9,0.951,L,4,0.406
