xc,yb,surf,section,cp
0.797794118,0,U,1,-0.126649077
0.738970588,0,U,1,-0.182058047
0.676470588,0,U,1,-0.22823219
0.619485294,0,U,1,-0.255936675
0.556985294,0,U,1,-0.283641161
0.498161765,0,U,1,-0.265171504
1.003577818,0.13,U,2,0.230211055
0.951699463,0.13,U,2,0.19347666
0.919499106,0.13,U,2,0.112337523
0.860465116,0.13,U,2,-0.022990452
0.799642218,0.13,U,2,-0.104642012
0.754919499,0.13,U,2,-0.186005335
0.719141324,0.13,U,2,-0.213500085
0.679785331,0.13,U,2,-0.250010294
0.640429338,0.13,U,2,-0.259666284
0.595706619,0.13,U,2,-0.30522398
0.559928444,0.13,U,2,-0.314815916
0.516994633,0.13,U,2,-0.306633146
0.466905188,0.13,U,2,-0.352286921
0.352415027,0.13,U,2,-0.381190837
0.293381038,0.13,U,2,-0.409101931
0.23255814,0.13,U,2,-0.463899272
1.001788909,0.13,L,2,0.265984655
0.953488372,0.13,L,2,0.202460093
0.915921288,0.13,L,2,0.11227347
0.851520572,0.13,L,2,0.057412076
0.749552773,0.13,L,2,-0.033927501
0.652951699,0.13,L,2,-0.053559745
0.604651163,0.13,L,2,-0.045473054
0.552772809,0.13,L,2,-0.046401823
0.500894454,0.13,L,2,-0.056281998
0.402504472,0.13,L,2,-0.075946269
1.00308203,0.27,U,3,0.064312736
0.869790955,0.27,U,3,-0.085750315
0.805798517,0.27,U,3,-0.182849937
0.761362186,0.27,U,3,-0.244640605
0.720491691,0.27,U,3,-0.279949559
0.677836039,0.27,U,3,-0.332912989
0.603235683,0.27,U,3,-0.332912989
0.557041072,0.27,U,3,-0.359394704
0.519731935,0.27,U,3,-0.37704918
0.468204247,0.27,U,3,-0.412358134
0.411343483,0.27,U,3,-0.456494325
0.3509348,0.27,U,3,-0.491803279
0.292275439,0.27,U,3,-0.580075662
0.230068159,0.27,U,3,-0.659520807
0.171399837,0.27,U,3,-0.765447667
0.110959797,0.27,U,3,-0.862547289
0.05222428,0.27,U,3,-1.100882724
0.018427224,0.27,U,3,-1.197982346
1.003194022,0.27,L,3,0.284993695
0.953415655,0.27,L,3,0.196721311
0.85211856,0.27,L,3,0.090794451
0.749045265,0.27,L,3,-0.015132409
0.653094685,0.27,L,3,-0.085750315
0.601580436,0.27,L,3,-0.094577554
0.550070667,0.27,L,3,-0.094577554
0.500350536,0.27,L,3,-0.068095839
0.397313079,0.27,L,3,-0.103404792
0.301416255,0.27,L,3,-0.068095839
0.198405677,0.27,L,3,-0.050441362
0.098996772,0.27,L,3,0.064312736
0.052864877,0.27,L,3,0.161412358
-0.002130095,0.27,L,3,0.293820933
-0.005803444,0.27,L,3,0.055485498
0.996179479,0.41,U,4,0.121602638
0.918799541,0.41,U,4,-0.04111608
0.855826582,0.41,U,4,-0.131873598
0.801841864,0.41,U,4,-0.240395731
0.756859205,0.41,U,4,-0.312905024
0.722667962,0.41,U,4,-0.385220872
0.675905157,0.41,U,4,-0.386059129
0.63633663,0.41,U,4,-0.386768424
0.594969533,0.41,U,4,-0.38750996
0.560796713,0.41,U,4,-0.388122533
0.519420405,0.41,U,4,-0.424715706
0.470861333,0.41,U,4,-0.416623295
0.409693852,0.41,U,4,-0.480459844
0.352121207,0.41,U,4,-0.553194821
0.287349678,0.41,U,4,-0.64398458
0.229772427,0.41,U,4,-0.734645376
0.170382789,0.41,U,4,-0.879115868
0.110979334,0.41,U,4,-1.077363818
0.049751977,0.41,U,4,-1.374236011
0.019141753,0.41,U,4,-1.509227744
0.997994169,0.41,L,4,0.184375245
0.947625013,0.41,L,4,0.147620868
0.848687574,0.41,L,4,0.083107265
0.747953868,0.41,L,4,0.02752433
0.649018732,0.41,L,4,-0.028026364
0.593258474,0.41,L,4,-0.046951644
0.546495668,0.41,L,4,-0.047789901
0.499732863,0.41,L,4,-0.048628159
0.399022186,0.41,L,4,-0.014582
0.298311509,0.41,L,4,0.01946416
0.098693331,0.41,L,4,0.105514538
0.050159591,0.41,L,4,0.212198953
0.017822188,0.41,L,4,0.355025171
0.0015061,0.41,L,4,-0.147187922
