xc,yb,surf,section,cp
.9651,0.28,U,1,.0211
.8994,0.28,U,1,.0040
.8302,0.28,U,1,-.0113
.7865,0.28,U,1,-.0273
.7449,0.28,U,1,-.0435
.6988,0.28,U,1,-.0530
.6041,0.28,U,1,-.0729
.5617,0.28,U,1,-.0808
.5154,0.28,U,1,-.0761
.4697,0.28,U,1,-.0874
.4213,0.28,U,1,-.0752
.3798,0.28,U,1,-.0597
.3345,0.28,U,1,-.0413
.2912,0.28,U,1,-.0198
.2436,0.28,U,1,.0002
.1998,0.28,U,1,.0301
.1759,0.28,U,1,.0498
.1523,0.28,U,1,.0774
.1263,0.28,U,1,.0840
.1001,0.28,U,1,.1068
.0748,0.28,U,1,.1607
.0513,0.28,U,1,.2212
0.0188,0.28,U,1,0.5261
0.0386,0.28,L,1,-0.4877
.0793,0.28,L,1,-.3199
.1201,0.28,L,1,-2642
.1598,0.28,L,1,-.2268
.1996,0.28,L,1,-.2195
.2753,0.28,L,1,-.1922
.3449,0.28,L,1,-.1738
.4232,0.28,L,1,-.1535
.4951,0.28,L,1,-.1174
.5671,0.28,L,1,-.0760
.6411,0.28,L,1,-.0378
.7156,0.28,L,1,-.0200
.7886,0.28,L,1,-.0051
.8611,0.28,L,1,.0106
.8982,0.62,U,2,-.0052
.8384,0.62,U,2,-.0205
.7874,0.62,U,2,-.0378
.7353,0.62,U,2,-.0523
.6687,0.62,U,2,-.0709
.6137,0.62,U,2,-.0868
.4942,0.62,U,2,-.1031
.4423,0.62,U,2,-.0996
.3818,0.62,U,2,-.0835
.3260,0.62,U,2,-.0545
.2674,0.62,U,2,-.0219
.2080,0.62,U,2,.0164
.1779,0.62,U,2,.0452
.1496,0.62,U,2,.0787
.1184,0.62,U,2,.1094
.0874,0.62,U,2,.1595
.0576,0.62,U,2,.2305
0.0269,0.62,U,2,0.5150
0.0408,0.62,L,2,-0.8682
.0833,0.62,L,2,-.4348
.1251,0.62,L,2,-.3403
.1625,0.62,L,2,-.2684
.2055,0.62,L,2,-.2392
.2761,0.62,L,2,-.2076
.3535,0.62,L,2,-.1725
.4252,0.62,L,2,-.1498
.4977,0.62,L,2,-.1070
.5720,0.62,L,2,-.0643
.6464,0.62,L,2,-.0435
.7193,0.62,L,2,-.0293
.7945,0.62,L,2,-.0123
.8688,0.62,L,2,-.0005
.8756,0.91,U,3,-.0339
.7267,0.91,U,3,-.0552
.6553,0.91,U,3,-.0801
.5821,0.91,U,3,-.0885
.5052,0.91,U,3,-.0995
.4311,0.91,U,3,-.1149
.3627,0.91,U,3,-.1040
.1719,0.91,U,3,-.0250
.1268,0.91,U,3,.0703
.0869,0.91,U,3,.1384
0.0406,0.91,U,3,0.3804
0.0605,0.91,L,3,-0.9412
.1095,0.91,L,3,-.3823
.1584,0.91,L,3,-.2439
.2060,0.91,L,3,-.1885
.3295,0.91,L,3,-.1506
.4349,0.91,L,3,-.1194
.5604,0.91,L,3,-.0624
