xc,yb,surf,section,cp
0.9651,0.28,U,1,-0.0387
0.8994,0.28,U,1,-0.0759
0.8302,0.28,U,1,-0.1107
0.7865,0.28,U,1,-0.1421
0.7449,0.28,U,1,-0.1745
0.6988,0.28,U,1,-0.1996
0.6041,0.28,U,1,-0.2566
0.5617,0.28,U,1,-0.2849
0.5154,0.28,U,1,-0.2983
0.4697,0.28,U,1,-0.3406
0.4213,0.28,U,1,-0.3557
0.3798,0.28,U,1,-0.3817
0.3345,0.28,U,1,-0.4145
0.2912,0.28,U,1,-0.4603
0.2436,0.28,U,1,-0.6216
0.1998,0.28,U,1,-0.8146
0.1759,0.28,U,1,-0.912
0.1523,0.28,U,1,-1.076
0.1263,0.28,U,1,-1.215
0.1001,0.28,U,1,-1.37
0.0748,0.28,U,1,-1.399
0.0513,0.28,U,1,-1.459
0.0188,0.28,U,1,-1.78
0.0386,0.28,L,1,0.5429
0.0793,0.28,L,1,0.4208
0.1201,0.28,L,1,0.3663
0.1598,0.28,L,1,0.2972
0.1996,0.28,L,1,0.2651
0.2753,0.28,L,1,0.2113
0.3449,0.28,L,1,0.1522
0.4232,0.28,L,1,0.1084
0.4951,0.28,L,1,0.0895
0.5671,0.28,L,1,0.0796
0.6411,0.28,L,1,0.0776
0.7156,0.28,L,1,0.0589
0.7886,0.28,L,1,0.0433
0.8611,0.28,L,1,0.0309
0.8982,0.62,U,2,-0.1945
0.8384,0.62,U,2,-0.2572
0.7874,0.62,U,2,-0.298
0.7353,0.62,U,2,-0.3446
0.6687,0.62,U,2,-0.4324
0.6137,0.62,U,2,-0.4944
0.4942,0.62,U,2,-0.6674
0.4423,0.62,U,2,-0.7372
0.3818,0.62,U,2,-0.8116
0.326,0.62,U,2,-0.9025
0.2674,0.62,U,2,-0.973
0.208,0.62,U,2,-1.045
0.1779,0.62,U,2,-1.073
0.1496,0.62,U,2,-1.101
0.1184,0.62,U,2,-1.131
0.0874,0.62,U,2,-1.145
0.0576,0.62,U,2,-1.176
0.0269,0.62,U,2,-1.183
0.0408,0.62,L,2,0.5619
0.0833,0.62,L,2,0.4368
0.1251,0.62,L,2,0.3726
0.1625,0.62,L,2,0.3027
0.2055,0.62,L,2,0.2645
0.2761,0.62,L,2,0.1967
0.3535,0.62,L,2,0.1334
0.4252,0.62,L,2,0.0908
0.4977,0.62,L,2,0.0729
0.572,0.62,L,2,0.0703
0.6464,0.62,L,2,0.0532
0.7193,0.62,L,2,0.0304
0.7945,0.62,L,2,0.0165
0.8688,0.62,L,2,-0.0145
0.8756,0.91,U,3,-0.5136
0.7267,0.91,U,3,-0.5416
0.6553,0.91,U,3,-0.5674
0.5821,0.91,U,3,-0.5842
0.5052,0.91,U,3,-0.5989
0.4311,0.91,U,3,-0.6338
0.3627,0.91,U,3,-0.654
0.1719,0.91,U,3,-0.731
0.1268,0.91,U,3,-0.7421
0.0869,0.91,U,3,-0.7536
0.0406,0.91,U,3,-0.765
0.0605,0.91,L,3,0.45
0.1095,0.91,L,3,0.294
0.1584,0.91,L,3,0.2086
0.206,0.91,L,3,0.1226
0.3295,0.91,L,3,0.0329
0.4349,0.91,L,3,0.0052
0.5604,0.91,L,3,0.0137
