xc,yb,surf,section,cp
0.9,0.25,U,1,0.0115
0.8,0.25,U,1,-0.0929
0.7,0.25,U,1,-0.1813
0.65,0.25,U,1,-0.2228
0.625,0.25,U,1,-0.2365
0.6,0.25,U,1,-0.2543
0.575,0.25,U,1,-0.2759
0.525,0.25,U,1,-0.3166
0.5,0.25,U,1,-0.317
0.475,0.25,U,1,-0.3524
0.45,0.25,U,1,-0.3789
0.425,0.25,U,1,-0.3899
0.4,0.25,U,1,-0.4334
0.35,0.25,U,1,-0.4758
0.3,0.25,U,1,-0.5161
0.25,0.25,U,1,-0.542
0.2,0.25,U,1,-0.5861
0.15,0.25,U,1,-0.6264
0.1,0.25,U,1,-0.6548
0.05,0.25,U,1,-0.6112
0.025,0.25,U,1,-0.3642
0.0125,0.25,U,1,0.0064
0.0125,0.25,L,1,0.3134
0.025,0.25,L,1,-0.0261
0.05,0.25,L,1,-0.2878
0.1,0.25,L,1,-0.4054
0.15,0.25,L,1,-0.4277
0.2,0.25,L,1,-0.4228
0.25,0.25,L,1,-0.4116
0.3,0.25,L,1,-0.3978
0.35,0.25,L,1,-0.3798
0.4,0.25,L,1,-0.3557
0.425,0.25,L,1,-0.3304
0.45,0.25,L,1,-0.3078
0.475,0.25,L,1,-0.2934
0.5,0.25,L,1,-0.2744
0.525,0.25,L,1,-0.2629
0.575,0.25,L,1,-0.2315
0.6,0.25,L,1,-0.2142
0.625,0.25,L,1,-0.1996
0.65,0.25,L,1,-0.1831
0.7,0.25,L,1,-0.1536
0.8,0.25,L,1,-0.0966
0.9,0.25,L,1,0.0132
0.9,0.5,U,2,0.0286
0.8,0.5,U,2,-0.0706
0.7,0.5,U,2,-0.1501
0.65,0.5,U,2,-0.191
0.625,0.5,U,2,-0.2103
0.6,0.5,U,2,-0.2297
0.575,0.5,U,2,-0.2513
0.55,0.5,U,2,-0.271
0.525,0.5,U,2,-0.2932
0.5,0.5,U,2,-0.3164
0.475,0.5,U,2,-0.3374
0.45,0.5,U,2,-0.3626
0.425,0.5,U,2,-0.3972
0.4,0.5,U,2,-0.4115
0.375,0.5,U,2,-0.4456
0.35,0.5,U,2,-0.4654
0.3,0.5,U,2,-0.5109
0.25,0.5,U,2,-0.5562
0.2,0.5,U,2,-0.5961
0.15,0.5,U,2,-0.6188
0.1,0.5,U,2,-0.6577
0.05,0.5,U,2,-0.5773
0.025,0.5,U,2,-0.2832
0.0125,0.5,U,2,0.1251
0,0.5,U,2,0.992
0.0125,0.5,L,2,0.3828
0.025,0.5,L,2,0.0182
0.05,0.5,L,2,-0.2678
0.1,0.5,L,2,-0.4103
0.15,0.5,L,2,-0.4279
0.2,0.5,L,2,-0.4407
0.25,0.5,L,2,-0.4356
0.3,0.5,L,2,-0.4107
0.35,0.5,L,2,-0.3843
0.375,0.5,L,2,-0.3764
0.4,0.5,L,2,-0.3521
0.425,0.5,L,2,-0.3403
0.45,0.5,L,2,-0.3096
0.475,0.5,L,2,-0.2919
0.5,0.5,L,2,-0.2763
0.525,0.5,L,2,-0.2613
0.55,0.5,L,2,-0.238
0.575,0.5,L,2,-0.2228
0.6,0.5,L,2,-0.2043
0.625,0.5,L,2,-0.1863
0.65,0.5,L,2,-0.1726
0.7,0.5,L,2,-0.1355
0.8,0.5,L,2,-0.0659
0.9,0.5,L,2,0.0178
0.6,0.75,U,3,-0.1888
0.55,0.75,U,3,-0.2266
0.525,0.75,U,3,-0.2485
0.5,0.75,U,3,-0.2699
0.475,0.75,U,3,-0.2895
0.45,0.75,U,3,-0.3161
0.425,0.75,U,3,-0.3378
0.4,0.75,U,3,-0.3699
0.375,0.75,U,3,-0.3915
0.35,0.75,U,3,-0.4219
0.35,0.75,L,3,-0.3634
0.375,0.75,L,3,-0.3451
0.4,0.75,L,3,-0.3266
0.425,0.75,L,3,-0.3003
0.45,0.75,L,3,-0.2831
0.475,0.75,L,3,-0.2665
0.5,0.75,L,3,-0.2507
0.525,0.75,L,3,-0.2326
0.55,0.75,L,3,-0.2092
0.6,0.75,L,3,-0.1793
0.9,0.775,U,4,0.0455
0.8,0.775,U,4,-0.0368
0.7,0.775,U,4,-0.1082
0.65,0.775,U,4,-0.1425
0.6,0.775,U,4,-0.1791
0.575,0.775,U,4,-0.2039
0.55,0.775,U,4,-0.2213
0.525,0.775,U,4,-0.2383
0.5,0.775,U,4,-0.2565
0.475,0.775,U,4,-0.2822
0.45,0.775,U,4,-0.3032
0.425,0.775,U,4,-0.326
