xc_raw,yb_raw,xc,yb,surf,section,cp
0.99619,0.05,0.981055635,0.078484447,U,1,
0.95624,0.05,0.941712566,0.076156513,U,1,
0.900483,0.05,0.88680264,0.072907485,U,1,
0.843881,0.05,0.831060551,0.069609219,U,1,
0.785998,0.05,0.774056924,0.066236307,U,1,
0.72819,0.05,0.717127158,0.062867765,U,1,
0.671552,0.05,0.661349616,0.059567401,U,1,
0.615491,0.05,0.606140309,0.056300659,U,1,
0.561119,0.05,0.552594342,0.053132338,U,1,
0.508984,0.05,0.501251389,0.050094369,U,1,
0.458507,0.05,0.451541248,0.047153013,U,1,
0.410335,0.05,0.404101089,0.044345973,U,1,
0.363751,0.05,0.358224805,0.041631467,U,1,
0.319442,0.05,0.314588958,0.039049529,U,1,
0.276981,0.05,0.272773036,0.036575275,U,1,
0.236335,0.05,0.23274454,0.034206784,U,1,
0.197963,0.05,0.194955497,0.031970801,U,1,
0.161629,0.05,0.159173492,0.029853576,U,1,
0.127694,0.05,0.125754041,0.027876142,U,1,
0.096415,0.05,0.09495024,0.026053478,U,1,
0.068029,0.05,0.066995487,0.024399391,U,1,
0.043449,0.05,0.042788912,0.022967085,U,1,
0.026691,0.05,0.026285504,0.021990576,U,1,
0.020164,0.05,0.019857664,0.02161024,U,1,
0.015533,0.05,0.015297019,0.021340386,U,1,
0.012003,0.05,0.011820647,0.021134689,U,1,
0.008412,0.05,0.008284203,0.020925437,U,1,
0.005101,0.05,0.005023504,0.020732501,U,1,
0.001938,0.05,0.001908557,0.020548189,U,1,
0,0.05,0,0.02043526,U,1,
0.001938,0.05,0.001908557,0.020548189,L,1,
0.005101,0.05,0.005023504,0.020732501,L,1,
0.008412,0.05,0.008284203,0.020925437,L,1,
0.012003,0.05,0.011820647,0.021134689,L,1,
0.015533,0.05,0.015297019,0.021340386,L,1,
0.020164,0.05,0.019857664,0.02161024,L,1,
0.026691,0.05,0.026285504,0.021990576,L,1,
0.043449,0.05,0.042788912,0.022967085,L,1,
0.068029,0.05,0.066995487,0.024399391,L,1,
0.096415,0.05,0.09495024,0.026053478,L,1,
0.127694,0.05,0.125754041,0.027876142,L,1,
0.161629,0.05,0.159173492,0.029853576,L,1,
0.197963,0.05,0.194955497,0.031970801,L,1,
0.236335,0.05,0.23274454,0.034206784,L,1,
0.276981,0.05,0.272773036,0.036575275,L,1,
0.319442,0.05,0.314588958,0.039049529,L,1,
0.363751,0.05,0.358224805,0.041631467,L,1,
0.410335,0.05,0.404101089,0.044345973,L,1,
0.458507,0.05,0.451541248,0.047153013,L,1,
0.508984,0.05,0.501251389,0.050094369,L,1,
0.561119,0.05,0.552594342,0.053132338,L,1,
0.615491,0.05,0.606140309,0.056300659,L,1,
0.671552,0.05,0.661349616,0.059567401,L,1,
0.72819,0.05,0.717127158,0.062867765,L,1,
0.785998,0.05,0.774056924,0.066236307,L,1,
0.843881,0.05,0.831060551,0.069609219,L,1,
0.900483,0.05,0.88680264,0.072907485,L,1,
0.95624,0.05,0.941712566,0.076156513,L,1,
0.99619,0.05,0.981055635,0.078484447,L,1,
0.99619,0.1986,,,U,2,
0.95624,0.1986,,,U,2,
0.900483,0.1986,,,U,2,
0.843881,0.1986,,,U,2,
0.785998,0.1986,,,U,2,
0.72819,0.1986,,,U,2,
0.671552,0.1986,,,U,2,
0.615491,0.1986,,,U,2,
0.561119,0.1986,,,U,2,
0.508984,0.1986,,,U,2,
0.458507,0.1986,,,U,2,
0.410335,0.1986,,,U,2,
0.363751,0.1986,,,U,2,
0.319442,0.1986,,,U,2,
0.276981,0.1986,,,U,2,
0.236335,0.1986,,,U,2,
0.197963,0.1986,,,U,2,
0.161629,0.1986,,,U,2,
0.127694,0.1986,,,U,2,
0.096415,0.1986,,,U,2,
0.068029,0.1986,,,U,2,
0.043449,0.1986,,,U,2,
0.026691,0.1986,,,U,2,
0.020164,0.1986,,,U,2,
0.015533,0.1986,,,U,2,
0.012003,0.1986,,,U,2,
0.008412,0.1986,,,U,2,
0.005101,0.1986,,,U,2,
0.001938,0.1986,,,U,2,
0,0.1986,,,U,2,
0.001938,0.1986,,,L,2,
0.005101,0.1986,,,L,2,
0.008412,0.1986,,,L,2,
0.012003,0.1986,,,L,2,
0.015533,0.1986,,,L,2,
0.020164,0.1986,,,L,2,
0.026691,0.1986,,,L,2,
0.043449,0.1986,,,L,2,
0.068029,0.1986,,,L,2,
0.096415,0.1986,,,L,2,
0.127694,0.1986,,,L,2,
0.161629,0.1986,,,L,2,
0.197963,0.1986,,,L,2,
0.236335,0.1986,,,L,2,
0.276981,0.1986,,,L,2,
0.319442,0.1986,,,L,2,
0.363751,0.1986,,,L,2,
0.410335,0.1986,,,L,2,
0.458507,0.1986,,,L,2,
0.508984,0.1986,,,L,2,
0.561119,0.1986,,,L,2,
0.615491,0.1986,,,L,2,
0.671552,0.1986,,,L,2,
0.72819,0.1986,,,L,2,
0.785998,0.1986,,,L,2,
0.843881,0.1986,,,L,2,
0.900483,0.1986,,,L,2,
0.95624,0.1986,,,L,2,
0.99619,0.1986,,,L,2,
0.99619,0.3436,,,U,3,
0.95624,0.3436,,,U,3,
0.900483,0.3436,,,U,3,
0.843881,0.3436,,,U,3,
0.785998,0.3436,,,U,3,
0.72819,0.3436,,,U,3,
0.671552,0.3436,,,U,3,
0.615491,0.3436,,,U,3,
0.561119,0.3436,,,U,3,
0.508984,0.3436,,,U,3,
0.458507,0.3436,,,U,3,
0.410335,0.3436,,,U,3,
0.363751,0.3436,,,U,3,
0.319442,0.3436,,,U,3,
0.276981,0.3436,,,U,3,
0.236335,0.3436,,,U,3,
0.197963,0.3436,,,U,3,
0.161629,0.3436,,,U,3,
0.127694,0.3436,,,U,3,
0.096415,0.3436,,,U,3,
0.068029,0.3436,,,U,3,
0.043449,0.3436,,,U,3,
0.026691,0.3436,,,U,3,
0.020164,0.3436,,,U,3,
0.015533,0.3436,,,U,3,
0.012003,0.3436,,,U,3,
0.008412,0.3436,,,U,3,
0.005101,0.3436,,,U,3,
0.001938,0.3436,,,U,3,
0,0.3436,,,U,3,
0.001938,0.3436,,,L,3,
0.005101,0.3436,,,L,3,
0.008412,0.3436,,,L,3,
0.012003,0.3436,,,L,3,
0.015533,0.3436,,,L,3,
0.020164,0.3436,,,L,3,
0.026691,0.3436,,,L,3,
0.043449,0.3436,,,L,3,
0.068029,0.3436,,,L,3,
0.096415,0.3436,,,L,3,
0.127694,0.3436,,,L,3,
0.161629,0.3436,,,L,3,
0.197963,0.3436,,,L,3,
0.236335,0.3436,,,L,3,
0.276981,0.3436,,,L,3,
0.319442,0.3436,,,L,3,
0.363751,0.3436,,,L,3,
0.410335,0.3436,,,L,3,
0.458507,0.3436,,,L,3,
0.508984,0.3436,,,L,3,
0.561119,0.3436,,,L,3,
0.615491,0.3436,,,L,3,
0.671552,0.3436,,,L,3,
0.72819,0.3436,,,L,3,
0.785998,0.3436,,,L,3,
0.843881,0.3436,,,L,3,
0.900483,0.3436,,,L,3,
0.95624,0.3436,,,L,3,
0.99619,0.3436,,,L,3,
0.99619,0.4813,,,U,4,
0.95624,0.4813,,,U,4,
0.900483,0.4813,,,U,4,
0.843881,0.4813,,,U,4,
0.785998,0.4813,,,U,4,
0.72819,0.4813,,,U,4,
0.671552,0.4813,,,U,4,
0.615491,0.4813,,,U,4,
0.561119,0.4813,,,U,4,
0.508984,0.4813,,,U,4,
0.458507,0.4813,,,U,4,
0.410335,0.4813,,,U,4,
0.363751,0.4813,,,U,4,
0.319442,0.4813,,,U,4,
0.276981,0.4813,,,U,4,
0.236335,0.4813,,,U,4,
0.197963,0.4813,,,U,4,
0.161629,0.4813,,,U,4,
0.127694,0.4813,,,U,4,
0.096415,0.4813,,,U,4,
0.068029,0.4813,,,U,4,
0.043449,0.4813,,,U,4,
0.026691,0.4813,,,U,4,
0.020164,0.4813,,,U,4,
0.015533,0.4813,,,U,4,
0.012003,0.4813,,,U,4,
0.008412,0.4813,,,U,4,
0.005101,0.4813,,,U,4,
0.001938,0.4813,,,U,4,
0,0.4813,,,U,4,
