xc,yb,surf,section,cp
0.99619,0.05,U,1,0.115217458
0.95624,0.05,U,1,0.028434485
0.900483,0.05,U,1,-0.044227568
0.843881,0.05,U,1,-0.083088031
0.785998,0.05,U,1,-0.119158987
0.72819,0.05,U,1,-0.149612397
0.671552,0.05,U,1,-0.191243103
0.615491,0.05,U,1,-0.227275529
0.561119,0.05,U,1,-0.252111395
0.508984,0.05,U,1,-0.268424622
0.458507,0.05,U,1,-0.273541288
0.410335,0.05,U,1,-0.303936905
0.363751,0.05,U,1,-0.311843079
0.319442,0.05,U,1,-0.345028203
0.276981,0.05,U,1,-0.347297568
0.236335,0.05,U,1,-0.369228339
0.197963,0.05,U,1,-0.365803101
0.161629,0.05,U,1,-0.368072466
0.127694,0.05,U,1,-0.37865256
0.096415,0.05,U,1,-0.380825602
0.068029,0.05,U,1,-0.318281293
0.043449,0.05,U,1,-0.264182566
0.026691,0.05,U,1,-0.131515273
0.020164,0.05,U,1,-0.049771908
0.015533,0.05,U,1,0.043148753
0.012003,0.05,U,1,0.088339549
0.008412,0.05,U,1,0.304884721
0.005101,0.05,U,1,0.504635052
0.001938,0.05,U,1,0.81679407
0,0.05,U,1,0.980357858
0.001938,0.05,L,1,0.437609808
0.005101,0.05,L,1,0.088878957
0.008412,0.05,L,1,-0.200732824
0.012003,0.05,L,1,-0.254330672
0.015533,0.05,L,1,-0.39219169
0.020164,0.05,L,1,-0.420549117
0.026691,0.05,L,1,-0.516374873
0.043449,0.05,L,1,-0.519780846
0.068029,0.05,L,1,-0.475591807
0.096415,0.05,L,1,-0.526881762
0.127694,0.05,L,1,-0.544389391
0.161629,0.05,L,1,-0.460723423
0.197963,0.05,L,1,-0.537157476
0.236335,0.05,L,1,-0.48721604
0.276981,0.05,L,1,-0.462495762
0.319442,0.05,L,1,-0.429291373
0.363751,0.05,L,1,-0.382043122
0.410335,0.05,L,1,-0.354494806
0.458507,0.05,L,1,-0.326927226
0.508984,0.05,L,1,-0.293703572
0.561119,0.05,L,1,-0.257671146
0.615491,0.05,L,1,-0.244166692
0.671552,0.05,L,1,-0.205306229
0.72819,0.05,L,1,-0.177642327
0.785998,0.05,L,1,-0.133222113
0.843881,0.05,L,1,-0.094323121
0.900483,0.05,L,1,-0.044227568
0.95624,0.05,L,1,0.025587184
0.99619,0.05,L,1,0.106791141
0.99619,0.1986,U,2,0.14363196
0.95624,0.1986,U,2,0.062276137
0.900483,0.1986,U,2,-0.005550812
0.843881,0.1986,U,2,-0.051707935
0.785998,0.1986,U,2,-0.095154988
0.72819,0.1986,U,2,-0.127761757
0.671552,0.1986,U,2,-0.184766324
0.615491,0.1986,U,2,-0.209246461
0.561119,0.1986,U,2,-0.239150319
0.508984,0.1986,U,2,-0.250087263
0.458507,0.1986,U,2,-0.282711932
0.410335,0.1986,U,2,-0.299072597
0.363751,0.1986,U,2,-0.318143333
0.319442,0.1986,U,2,-0.331793927
0.276981,0.1986,U,2,-0.356288384
0.236335,0.1986,U,2,-0.367239648
0.197963,0.1986,U,2,-0.370060699
0.161629,0.1986,U,2,-0.37288175
0.127694,0.1986,U,2,-0.410948041
0.096415,0.1986,U,2,-0.389392776
0.068029,0.1986,U,2,-0.36785541
0.043449,0.1986,U,2,-0.262302271
0.026691,0.1986,U,2,-0.224486581
0.020164,0.1986,U,2,-0.072787059
0.015533,0.1986,U,2,-0.034892609
0.012003,0.1986,U,2,0.108698182
0.008412,0.1986,U,2,0.208920679
0.005101,0.1986,U,2,0.455476258
0.001938,0.1986,U,2,0.767055635
0,0.1986,U,2,0.989170457
0.001938,0.1986,L,2,0.577350682
0.005101,0.1986,L,2,0.206153328
0.008412,0.1986,L,2,-0.045818812
0.012003,0.1986,L,2,-0.232767154
0.015533,0.1986,L,2,-0.246274548
0.020164,0.1986,L,2,-0.319399918
0.026691,0.1986,L,2,-0.392507388
0.043449,0.1986,L,2,-0.519755413
0.068029,0.1986,L,2,-0.462711467
0.096415,0.1986,L,2,-0.465274757
0.127694,0.1986,L,2,-0.438052329
0.161629,0.1986,L,2,-0.470451458
0.197963,0.1986,L,2,-0.494727534
0.236335,0.1986,L,2,-0.483772691
0.276981,0.1986,L,2,-0.443010649
0.319442,0.1986,L,2,-0.429349315
0.363751,0.1986,L,2,-0.353370673
0.410335,0.1986,L,2,-0.331593446
0.458507,0.1986,L,2,-0.304396078
0.508984,0.1986,L,2,-0.27719155
0.561119,0.1986,L,2,-0.255414324
0.615491,0.1986,L,2,-0.222800395
0.671552,0.1986,L,2,-0.190186465
0.72819,0.1986,L,2,-0.154869625
0.785998,0.1986,L,2,-0.111411832
0.843881,0.1986,L,2,-0.081515134
0.900483,0.1986,L,2,-0.016387515
0.95624,0.1986,L,2,0.056863156
0.99619,0.1986,L,2,0.130074446
0.99619,0.3436,U,3,0.151093992
0.95624,0.3436,U,3,0.077116992
0.900483,0.3436,U,3,-0.004952807
0.843881,0.3436,U,3,-0.037605748
0.785998,0.3436,U,3,-0.094967117
0.72819,0.3436,U,3,-0.130278113
0.671552,0.3436,U,3,-0.179353911
0.615491,0.3436,U,3,-0.211962365
0.561119,0.3436,U,3,-0.236300075
0.508984,0.3436,U,3,-0.246932299
0.458507,0.3436,U,3,-0.268463666
0.410335,0.3436,U,3,-0.292860691
0.363751,0.3436,U,3,-0.325350515
0.319442,0.3436,U,3,-0.333176396
0.276981,0.3436,U,3,-0.351990391
0.236335,0.3436,U,3,-0.379000986
0.197963,0.3436,U,3,-0.364880295
0.161629,0.3436,U,3,-0.372602374
0.127694,0.3436,U,3,-0.402359998
0.096415,0.3436,U,3,-0.41005242
