xc,yb,surf,section,cp
0.99619,0.05,U,1,0.119154662
0.95624,0.05,U,1,0.029615063
0.900483,0.05,U,1,-0.060135307
0.843881,0.05,U,1,-0.100076216
0.785998,0.05,U,1,-0.190037355
0.72819,0.05,U,1,-0.218950478
0.671552,0.05,U,1,-0.292396285
0.615491,0.05,U,1,-0.34357575
0.561119,0.05,U,1,-0.394807908
0.508984,0.05,U,1,-0.435012279
0.458507,0.05,U,1,-0.436487669
0.410335,0.05,U,1,-0.493207373
0.363751,0.05,U,1,-0.54997977
0.319442,0.05,U,1,-0.667905568
0.276981,0.05,U,1,-0.719190417
0.236335,0.05,U,1,-0.792636224
0.197963,0.05,U,1,-0.877425972
0.161629,0.05,U,1,-0.97334889
0.127694,0.05,U,1,-1.04151792
0.096415,0.05,U,1,-1.192948615
0.068029,0.05,U,1,-1.305597636
0.043449,0.05,U,1,-1.612313106
0.026691,0.05,U,1,-1.702853863
0.020164,0.05,U,1,-1.925253818
0.015533,0.05,U,1,-1.925886128
0.012003,0.05,U,1,-2.109451716
0.008412,0.05,U,1,-1.855074946
0.005101,0.05,U,1,-2.005293714
0.001938,0.05,U,1,-1.524557524
0,0.05,U,1,-0.312931302
0.001938,0.05,L,1,0.890828684
0.005101,0.05,L,1,1.002792702
0.008412,0.05,L,1,0.959155791
0.012003,0.05,L,1,0.904596479
0.015533,0.05,L,1,0.7609718
0.020164,0.05,L,1,0.72867883
0.026691,0.05,L,1,0.596292707
0.043449,0.05,L,1,0.443115632
0.068029,0.05,L,1,0.31758706
0.096415,0.05,L,1,0.23099824
0.127694,0.05,L,1,0.066529917
0.161629,0.05,L,1,0.084626024
0.197963,0.05,L,1,-0.068603743
0.236335,0.05,L,1,-0.044914704
0.276981,0.05,L,1,-0.082010219
0.319442,0.05,L,1,-0.086022375
0.363751,0.05,L,1,-0.068084346
0.410335,0.05,L,1,-0.066608956
0.458507,0.05,L,1,-0.08724183
0.508984,0.05,L,1,-0.080331586
0.561119,0.05,L,1,-0.07336865
0.615491,0.05,L,1,-0.072156723
0.671552,0.05,L,1,-0.065141094
0.72819,0.05,L,1,-0.05269061
0.785998,0.05,L,1,-0.018131863
0.843881,0.05,L,1,-0.005944842
0.900483,0.05,L,1,0.011677033
0.95624,0.05,L,1,0.04602501
0.99619,0.05,L,1,0.124589516
0.99619,0.1986,U,2,0.133711949
0.95624,0.1986,U,2,0.057632137
0.900483,0.1986,U,2,-0.047932438
0.843881,0.1986,U,2,-0.095273937
0.785998,0.1986,U,2,-0.177665396
0.72819,0.1986,U,2,-0.231028255
0.671552,0.1986,U,2,-0.295853265
0.615491,0.1986,U,2,-0.331774083
0.561119,0.1986,U,2,-0.39676497
0.508984,0.1986,U,2,-0.450169299
0.458507,0.1986,U,2,-0.486007178
0.410335,0.1986,U,2,-0.49879635
0.363751,0.1986,U,2,-0.557973223
0.319442,0.1986,U,2,-0.657931132
0.276981,0.1986,U,2,-0.734715924
0.236335,0.1986,U,2,-0.805645233
0.197963,0.1986,U,2,-0.899789128
0.161629,0.1986,U,2,-0.976656859
0.127694,0.1986,U,2,-1.117395803
0.096415,0.1986,U,2,-1.258425033
0.068029,0.1986,U,2,-1.381846343
0.043449,0.1986,U,2,-1.621962624
0.026691,0.1986,U,2,-1.937080511
0.020164,0.1986,U,2,-2.141193034
0.015533,0.1986,U,2,-2.164905253
0.012003,0.1986,U,2,-2.182844927
0.008412,0.1986,U,2,-2.253193664
0.005101,0.1986,U,2,-2.311914374
0.001938,0.1986,U,2,-1.835870226
0,0.1986,U,2,-0.273186075
0.001938,0.1986,L,2,0.762828049
0.005101,0.1986,L,2,0.990403974
0.008412,0.1986,L,2,1.002736982
0.012003,0.1986,L,2,0.950742614
0.015533,0.1986,L,2,0.881555021
0.020164,0.1986,L,2,0.823746638
0.026691,0.1986,L,2,0.673411669
0.043449,0.1986,L,2,0.465351256
0.068029,0.1986,L,2,0.356377894
0.096415,0.1986,L,2,0.264888043
0.127694,0.1986,L,2,0.138348231
0.161629,0.1986,L,2,0.075721102
0.197963,0.1986,L,2,0.007197019
0.236335,0.1986,L,2,-0.020670436
0.276981,0.1986,L,2,-0.048579361
0.319442,0.1986,L,2,-0.094013266
0.363751,0.1986,L,2,-0.058009509
0.410335,0.1986,L,2,-0.062745318
0.458507,0.1986,L,2,-0.067398187
0.508984,0.1986,L,2,-0.066278513
0.561119,0.1986,L,2,-0.076994213
0.615491,0.1986,L,2,-0.06428798
0.671552,0.1986,L,2,-0.063334183
0.72819,0.1986,L,2,-0.05066942
0.785998,0.1986,L,2,-0.026501038
0.843881,0.1986,L,2,-0.0081052
0.900483,0.1986,L,2,0.021835727
0.95624,0.1986,L,2,0.075032709
0.99619,0.1986,L,2,0.133711949
0.99619,0.3436,U,3,0.130750513
0.95624,0.3436,U,3,0.065631282
0.900483,0.3436,U,3,-0.017346226
0.843881,0.3436,U,3,-0.076760966
0.785998,0.3436,U,3,-0.153898563
0.72819,0.3436,U,3,-0.213448721
0.671552,0.3436,U,3,-0.290586319
0.615491,0.3436,U,3,-0.320801507
0.561119,0.3436,U,3,-0.386191574
