xc,yb,surf,section,cp
0.95,0.094,U,1,0.059116176
0.79,0.094,U,1,-0.212133675
0.64,0.094,U,1,-0.474853072
0.49,0.094,U,1,-0.790904387
0.36,0.094,U,1,-1.036284278
0.25,0.094,U,1,-1.531183252
0.16,0.094,U,1,-1.919935789
0.09,0.094,U,1,-2.549119758
0.04,0.094,U,1,-3.472226276
0.022,0.094,U,1,-4.147365907
0.01,0.094,U,1,-4.858139751
0.01,0.094,L,1,0.91099407
0.022,0.094,L,1,1.061623572
0.04,0.094,L,1,0.981267495
0.09,0.094,L,1,0.704366053
0.16,0.094,L,1,0.337901482
0.25,0.094,L,1,0.20218369
0.36,0.094,L,1,0.110351964
0.49,0.094,L,1,0.062485904
0.64,0.094,L,1,0.031800151
0.79,0.094,L,1,0.010082651
0.95,0.094,L,1,0.032450217
0.95,0.238,U,2,0.055036933
0.79,0.238,U,2,-0.21237719
0.64,0.238,U,2,-0.424212027
0.49,0.238,U,2,-0.673598879
0.36,0.238,U,2,-1.045173769
0.25,0.238,U,2,-1.4740558
0.16,0.238,U,2,-1.886177652
0.09,0.238,U,2,-2.606634957
0.04,0.238,U,2,-3.300684902
0.022,0.238,U,2,-4.192602867
0.01,0.238,U,2,-4.731174796
0.01,0.238,L,2,0.92535673
0.022,0.238,L,2,1.091518639
0.04,0.238,L,2,0.969215411
0.09,0.238,L,2,0.658460963
0.16,0.238,L,2,0.41143551
0.25,0.238,L,2,0.172099006
0.36,0.238,L,2,0.071019578
0.49,0.238,L,2,0.005649121
0.64,0.238,L,2,0.031566923
0.79,0.238,L,2,0.038766313
0.95,0.238,L,2,0.026901719
0.95,0.37,U,3,0.03563117
0.79,0.37,U,3,-0.199113428
0.64,0.37,U,3,-0.426519178
0.49,0.37,U,3,-0.764598682
0.36,0.37,U,3,-1.011114988
0.25,0.37,U,3,-1.369782667
0.16,0.37,U,3,-1.953245634
0.09,0.37,U,3,-2.521661502
0.04,0.37,U,3,-3.366047571
0.022,0.37,U,3,-4.084712788
0.01,0.37,U,3,-4.863615655
0.01,0.37,L,3,0.871200772
0.022,0.37,L,3,1.083978082
0.04,0.37,L,3,0.945254171
0.09,0.37,L,3,0.615276951
0.16,0.37,L,3,0.360584481
0.25,0.37,L,3,0.172975968
0.36,0.37,L,3,0.06052907
0.49,0.37,L,3,0.023613192
0.64,0.37,L,3,0.002113818
0.79,0.37,L,3,0.015018368
0.95,0.37,L,3,0.044324502
0.95,0.49,U,4,0.088632942
0.79,0.49,U,4,-0.133647725
0.64,0.49,U,4,-0.364231948
0.49,0.49,U,4,-0.643200987
0.36,0.49,U,4,-0.987325195
0.25,0.49,U,4,-1.35606624
