xc,yb,surf,section,cp
0.8831435,0.22,U,2,-0.065659808
0.849321403,0.22,U,2,-0.105352004
0.812785368,0.22,U,2,-0.15668473
0.780325852,0.22,U,2,-0.184742681
0.746492532,0.22,U,2,-0.236062836
0.712674924,0.22,U,2,-0.271103848
0.680222143,0.22,U,2,-0.292185024
0.647778341,0.22,U,2,-0.303963832
0.612611622,0.22,U,2,-0.336685538
0.57878728,0.22,U,2,-0.378703325
0.544962939,0.22,U,2,-0.420721113
0.5111588,0.22,U,2,-0.441808574
0.477359151,0.22,U,2,-0.458244852
0.444922084,0.22,U,2,-0.463046884
0.416554802,0.22,U,2,-0.451550918
0.389532143,0.22,U,2,-0.447025442
0.261124006,0.22,U,2,-0.477855248
0.234105837,0.22,U,2,-0.468678588
0.207062975,0.22,U,2,-0.485083438
0.174623663,0.22,U,2,-0.492211063
0.13948837,0.22,U,2,-0.492374483
0.100274312,0.22,U,2,-0.518138269
0.073233695,0.22,U,2,-0.532217528
0.039402619,0.22,U,2,-0.581212091
0.000805876,0.22,U,2,0.032561877
