xc,yb,surf,section,cp
0.953096114,0.01,U,1,0.018677695
0.893870666,0.01,U,1,-0.045074234
0.833139568,0.01,U,1,-0.121709962
0.769454344,0.01,U,1,-0.198307572
0.710214603,0.01,U,1,-0.26851093
0.645009434,0.01,U,1,-0.364443767
0.58572681,0.01,U,1,-0.45400141
0.517553222,0.01,U,1,-0.556347558
0.458256304,0.01,U,1,-0.65235663
0.415207075,0.01,U,1,-0.748575349
0.373663497,0.01,U,1,-0.831910271
0.333568393,0.01,U,1,-0.928167108
0.290490575,0.01,U,1,-1.037288685
0.248804056,0.01,U,1,-1.185137891
0.204177705,0.01,U,1,-1.326497551
0.163953954,0.01,U,1,-1.480817244
0.14458061,0.01,U,1,-1.557986621
0.122238846,0.01,U,1,-1.641569308
0.100873849,0.01,U,1,-1.95097105
0.082105624,0.01,U,1,-2.421696621
0.073171778,0.01,U,1,-2.45383941
0.062746574,0.01,U,1,-2.492414569
0.049324363,0.01,U,1,-2.550305895
0.044607292,0.01,U,1,-2.679277288
0.034039147,0.01,U,1,-2.782366731
0.024633593,0.01,U,1,-3.027406659
0.015370981,0.01,U,1,-3.207932303
0.004688483,0.01,U,1,-3.362633174
0.001072062,0.01,U,1,-2.994844575
0,0.01,U,1,-1.47870171
0.000314471,0.01,L,1,-1.336770283
0.003787951,0.01,L,1,0.230926833
0.006622958,0.01,L,1,0.843793478
0.015799806,0.01,L,1,0.985610551
0.033353028,0.01,L,1,0.907964703
0.046489356,0.01,L,1,0.83682746
0.055151613,0.01,L,1,0.746393108
0.063856754,0.01,L,1,0.675313042
0.075487431,0.01,L,1,0.591292001
0.087175284,0.01,L,1,0.533076674
0.103222855,0.01,L,1,0.442547028
0.123730203,0.01,L,1,0.364863062
0.144251844,0.01,L,1,0.293630525
0.167756199,0.01,L,1,0.235262727
0.205988298,0.01,L,1,0.157350054
0.25017153,0.01,L,1,0.098715432
0.291443519,0.01,L,1,0.059473213
0.332729802,0.01,L,1,0.026682422
0.37403038,0.01,L,1,0.00034306
0.418327965,0.01,L,1,-0.006680135
0.459642837,0.01,L,1,-0.026568069
0.523113648,0.01,L,1,-0.046741886
0.583687511,0.01,L,1,-0.041071871
0.647201205,0.01,L,1,-0.041891403
0.707789361,0.01,L,1,-0.029769959
0.76834893,0.01,L,1,-0.030551373
0.834845337,0.01,L,1,-0.018506166
0.892522251,0.01,L,1,0.013007681
0.951633345,0.01,L,1,0.025148183
0.952571353,0.344,U,2,0.022103452
0.893754423,0.344,U,2,-0.062588095
0.830770802,0.344,U,2,-0.134792514
0.767764168,0.344,U,2,-0.219354616
0.706211634,0.344,U,2,-0.27306566
0.64598663,0.344,U,2,-0.3638929
0.585784638,0.344,U,2,-0.442362457
0.518576795,0.344,U,2,-0.532973956
0.456863174,0.344,U,2,-0.673188777
0.414828068,0.344,U,2,-0.746040421
0.375574592,0.344,U,2,-0.825157204
0.333481955,0.344,U,2,-0.928903054
0.291377813,0.344,U,2,-1.038827746
0.252032286,0.344,U,2,-1.167375258
0.205738441,0.344,U,2,-1.277170505
0.169059481,0.344,U,2,-1.473771567
0.147972891,0.344,U,2,-1.547270436
0.126840276,0.344,U,2,-1.645484671
0.105235906,0.344,U,2,-1.997031395
0.082373043,0.344,U,2,-2.274388876
0.066895736,0.344,U,2,-2.335702656
0.052699935,0.344,U,2,-2.458847997
0.04546396,0.344,U,2,-2.594566762
0.036877441,0.344,U,2,-2.705527014
0.028141342,0.344,U,2,-2.896812201
0.019474281,0.344,U,2,-3.051024341
0.010922281,0.344,U,2,-3.14344807
0.000520657,0.344,U,2,-2.729120522
0.004678718,0.344,U,2,-1.24624178
0.002207756,0.344,L,2,-1.07314793
0.002107077,0.344,L,2,0.37278721
0.007286315,0.344,L,2,0.904038109
0.015838315,0.344,L,2,0.996461837
0.028188806,0.344,L,2,0.878675519
0.040631346,0.344,L,2,0.810319931
0.051631295,0.344,L,2,0.717292126
0.062631243,0.344,L,2,0.624264321
0.073700228,0.344,L,2,0.568309563
0.086154275,0.344,L,2,0.506132816
0.10411405,0.344,L,2,0.400531587
0.124889972,0.344,L,2,0.307201744
0.145723425,0.344,L,2,0.244766107
0.166602903,0.344,L,2,0.207045835
0.206942279,0.344,L,2,0.119290756
0.248724248,0.344,L,2,0.056207894
0.2877476,0.344,L,2,0.011747853
0.329587099,0.344,L,2,-0.020440803
0.374265759,0.344,L,2,-0.028000391
0.410542001,0.344,L,2,-0.047658771
0.456628734,0.344,L,2,-0.049082666
0.518043194,0.344,L,2,-0.069517717
0.583681876,0.344,L,2,-0.071545688
0.645142361,0.344,L,2,-0.067265374
0.708033932,0.344,L,2,-0.044491684
0.769494417,0.344,L,2,-0.040211369
0.82956984,0.344,L,2,-0.029709065
0.893880991,0.344,L,2,0.005379159
0.949789724,0.344,L,2,0.02836859
0.951662147,0.51,U,3,-0.025442423
0.889843935,0.51,U,3,-0.084193791
0.829359731,0.51,U,3,-0.155025497
0.767595155,0.51,U,3,-0.195705869
0.707110951,0.51,U,3,-0.266537575
0.645239104,0.51,U,3,-0.34335994
0.58201537,0.51,U,3,-0.414125633
0.520125644,0.51,U,3,-0.496971664
0.45953417,0.51,U,3,-0.603945363
0.41687479,0.51,U,3,-0.669182487
0.378288949,0.51,U,3,-0.746565961
0.33418829,0.51,U,3,-0.83586474
0.290051875,0.51,U,3,-0.93721085
0.251340884,0.51,U,3,-1.056759983
0.205798947,0.51,U,3,-1.170120418
0.166962807,0.51,U,3,-1.33183521
0.146166033,0.51,U,3,-1.415671432
0.126631753,0.51,U,3,-1.535682655
0.101403872,0.51,U,3,-1.727845838
0.084197917,0.51,U,3,-1.986467381
0.071691247,0.51,U,3,-2.04640698
0.060393436,0.51,U,3,-2.160592575
0.053258556,0.51,U,3,-2.256806192
0.044682396,0.51,U,3,-2.377081465
0.034718593,0.51,U,3,-2.503347398
0.024683276,0.51,U,3,-2.653707992
0.007673985,0.51,U,3,-2.846069214
0.003446417,0.51,U,3,-2.424280598
0.002150916,0.51,U,3,-1.014610827
0.002562121,0.51,L,3,-0.876066519
0.001105714,0.51,L,3,0.479390262
0.002482355,0.51,L,3,0.943212512
0.013672896,0.51,L,3,1.021256113
0.021694823,0.51,L,3,0.954797753
0.032384766,0.51,L,3,0.864178719
0.043038953,0.51,L,3,0.761512353
0.051025123,0.51,L,3,0.683006662
0.059029172,0.51,L,3,0.610524637
0.069736994,0.51,L,3,0.525929267
0.08325586,0.51,L,3,0.465362548
0.100723115,0.51,L,3,0.350483819
0.123758822,0.51,L,3,0.265591392
0.141369105,0.51,L,3,0.198901988
