xc,zc,surf
1,0,U
0.996868,0.000333,U
0.99204,0.000847,U
0.987041,0.001379,U
0.981861,0.001931,U
0.976489,0.002503,U
0.970911,0.003098,U
0.965115,0.003717,U
0.959088,0.004361,U
0.952817,0.005031,U
0.946292,0.00573,U
0.939501,0.006457,U
0.932438,0.007214,U
0.925101,0.008001,U
0.917491,0.008818,U
0.909622,0.009664,U
0.901513,0.010537,U
0.893204,0.011432,U
0.884911,0.012326,U
0.876727,0.01321,U
0.868612,0.014086,U
0.860532,0.014959,U
0.852459,0.015831,U
0.84437,0.016706,U
0.836246,0.017584,U
0.828075,0.018467,U
0.819845,0.019357,U
0.811555,0.020252,U
0.803205,0.021154,U
0.794833,0.022058,U
0.786495,0.022957,U
0.778185,0.023852,U
0.769892,0.024744,U
0.761606,0.025634,U
0.753321,0.026523,U
0.74503,0.027411,U
0.736729,0.028298,U
0.728415,0.029185,U
0.720086,0.030072,U
0.711741,0.030958,U
0.703383,0.031843,U
0.695013,0.032726,U
0.686636,0.033608,U
0.678255,0.034486,U
0.669874,0.03536,U
0.661495,0.036229,U
0.653121,0.037092,U
0.644754,0.037948,U
0.636394,0.038797,U
0.628044,0.039638,U
0.619703,0.040469,U
0.611372,0.041292,U
0.603051,0.042104,U
0.594738,0.042907,U
0.586433,0.043698,U
0.578135,0.044478,U
0.569842,0.045246,U
0.561554,0.046002,U
0.553271,0.046746,U
0.544991,0.047476,U
0.536714,0.048193,U
0.52844,0.048896,U
0.520167,0.049585,U
0.511896,0.050258,U
0.503626,0.050916,U
0.495356,0.051559,U
0.487088,0.052184,U
0.47882,0.052792,U
0.470553,0.053383,U
0.462287,0.053955,U
0.454024,0.054507,U
0.445763,0.055039,U
0.437506,0.055551,U
0.429255,0.056041,U
0.421011,0.05651,U
0.412775,0.056955,U
0.404551,0.057377,U
0.396338,0.057774,U
0.388141,0.058146,U
0.379961,0.058491,U
0.371799,0.058806,U
0.363657,0.059089,U
0.355535,0.059338,U
0.347432,0.059553,U
0.33935,0.05973,U
0.331287,0.059868,U
0.323241,0.059965,U
0.315212,0.06002,U
0.307198,0.06003,U
0.299196,0.059994,U
0.291203,0.059911,U
0.283219,0.05978,U
0.275239,0.059602,U
0.267264,0.059376,U
0.25929,0.059104,U
0.251317,0.058784,U
0.243345,0.058417,U
0.235372,0.058003,U
0.227399,0.057542,U
0.219424,0.057034,U
0.211449,0.056479,U
0.203473,0.055877,U
0.195498,0.055228,U
0.187526,0.054532,U
0.179557,0.053788,U
0.171598,0.052997,U
0.163653,0.052158,U
0.15573,0.051272,U
0.147838,0.050339,U
0.139985,0.049359,U
0.132183,0.048327,U
0.124443,0.047239,U
0.116775,0.04609,U
0.109188,0.044878,U
0.101692,0.0436,U
0.094296,0.042254,U
0.087014,0.040841,U
0.079875,0.039364,U
0.072909,0.037829,U
0.066155,0.036241,U
0.059666,0.0346,U
0.053513,0.03292,U
0.047756,0.031223,U
0.042441,0.029536,U
0.037592,0.027884,U
0.033195,0.026284,U
0.029221,0.024744,U
0.025628,0.023267,U
0.022373,0.021845,U
0.019431,0.020444,U
0.016808,0.019058,U
0.014502,0.0177,U
0.012481,0.016387,U
0.01071,0.015129,U
0.009164,0.013937,U
0.007811,0.012809,U
0.006623,0.011737,U
0.005576,0.010713,U
0.00465,0.009731,U
0.003831,0.008784,U
0.003108,0.007867,U
0.002473,0.006976,U
0.001918,0.006107,U
0.001438,0.005257,U
0.001031,0.004422,U
0.000692,0.003601,U
0.000421,0.002789,U
0.000216,0.001986,U
0.000079,0.00119,U
0.000009,0.000396,U
0,0,U
0,0,L
0.000009,-0.000396,L
0.000079,-0.001189,L
0.000216,-0.001986,L
0.000421,-0.002789,L
0.000692,-0.003601,L
0.00103,-0.004422,L
0.001438,-0.005257,L
0.001918,-0.006107,L
0.002473,-0.006976,L
0.003108,-0.007867,L
0.003831,-0.008784,L
0.00465,-0.009731,L
0.005576,-0.010713,L
0.006623,-0.011736,L
0.007811,-0.012808,L
0.009164,-0.013937,L
0.01071,-0.015129,L
0.012481,-0.016387,L
0.014501,-0.0177,L
0.016808,-0.019058,L
0.019431,-0.020444,L
0.022373,-0.021845,L
0.025627,-0.023267,L
0.02922,-0.024744,L
0.033195,-0.026284,L
0.037591,-0.027884,L
0.042441,-0.029535,L
0.047756,-0.031223,L
0.053513,-0.03292,L
0.059666,-0.0346,L
0.066154,-0.036241,L
0.072909,-0.037829,L
0.079874,-0.039364,L
0.087014,-0.040841,L
0.094295,-0.042254,L
0.101692,-0.0436,L
0.109188,-0.044878,L
0.116775,-0.04609,L
0.124443,-0.047239,L
0.132183,-0.048327,L
0.139985,-0.049359,L
0.147837,-0.050339,L
0.15573,-0.051272,L
0.163653,-0.052158,L
0.171598,-0.052997,L
0.179557,-0.053788,L
0.187525,-0.054532,L
0.195498,-0.055228,L
0.203473,-0.055877,L
0.211448,-0.056479,L
0.219424,-0.057034,L
0.227398,-0.057542,L
0.235372,-0.058003,L
0.243345,-0.058417,L
0.251317,-0.058784,L
0.25929,-0.059104,L
0.267263,-0.059376,L
0.275239,-0.059602,L
0.283218,-0.05978,L
0.291203,-0.059911,L
0.299196,-0.059994,L
0.307198,-0.06003,L
0.315212,-0.06002,L
0.323241,-0.059965,L
0.331286,-0.059868,L
0.33935,-0.05973,L
0.347432,-0.059553,L
0.355534,-0.059338,L
0.363657,-0.059089,L
0.371799,-0.058806,L
0.379961,-0.058491,L
0.388141,-0.058146,L
0.396338,-0.057774,L
0.40455,-0.057377,L
0.412775,-0.056955,L
0.421011,-0.05651,L
0.429255,-0.056041,L
0.437506,-0.055551,L
0.445763,-0.055039,L
0.454023,-0.054507,L
0.462287,-0.053955,L
0.470553,-0.053383,L
0.47882,-0.052792,L
0.487088,-0.052184,L
0.495356,-0.051559,L
0.503626,-0.050916,L
0.511896,-0.050258,L
0.520167,-0.049585,L
0.52844,-0.048896,L
0.536714,-0.048193,L
0.544991,-0.047476,L
0.553271,-0.046746,L
0.561554,-0.046002,L
0.569842,-0.045246,L
0.578135,-0.044478,L
0.586433,-0.043698,L
0.594738,-0.042907,L
0.603051,-0.042104,L
0.611372,-0.041292,L
0.619703,-0.040469,L
0.628044,-0.039638,L
0.636394,-0.038797,L
0.644753,-0.037948,L
0.653121,-0.037092,L
0.661495,-0.036229,L
0.669874,-0.03536,L
0.678255,-0.034486,L
0.686636,-0.033608,L
0.695013,-0.032726,L
0.703383,-0.031843,L
0.711741,-0.030958,L
0.720086,-0.030072,L
0.728415,-0.029185,L
0.736729,-0.028298,L
0.74503,-0.027411,L
0.753321,-0.026523,L
0.761606,-0.025634,L
0.769892,-0.024744,L
0.778185,-0.023852,L
0.786495,-0.022957,L
0.794833,-0.022058,L
0.803206,-0.021154,L
0.811555,-0.020252,L
0.819846,-0.019357,L
0.828075,-0.018467,L
0.836246,-0.017584,L
0.84437,-0.016706,L
0.852459,-0.015831,L
0.860533,-0.014959,L
0.868612,-0.014086,L
0.876727,-0.01321,L
0.884911,-0.012326,L
0.893204,-0.011432,L
0.901513,-0.010537,L
0.909622,-0.009664,L
0.917491,-0.008818,L
0.925101,-0.008001,L
0.932438,-0.007214,L
0.939501,-0.006457,L
0.946292,-0.00573,L
0.952817,-0.005031,L
0.959088,-0.004361,L
0.965115,-0.003717,L
0.970911,-0.003098,L
0.976489,-0.002503,L
0.981861,-0.001931,L
0.987041,-0.001379,L
0.99204,-0.000847,L
0.996868,-0.000333,L
1,0,L
