xc,zc,surf,,,,,
1,-0.000791667,U,,,,,
0.975,0.007458333,U,,,,,
0.95,0.014583333,U,,,,,
0.925,0.02075,U,,,,,
0.9,0.026041667,U,,,,,
0.875,0.03075,U,,,,,
0.85,0.034708333,U,,,,,
0.825,0.038291667,U,,,,,
0.8,0.041375,U,,,,,
0.775,0.044083333,U,,,,,
0.75,0.046375,U,,,,,
0.725,0.0485,U,,,,,
0.7,0.050458333,U,,,,,
0.675,0.052083333,U,,,,,
0.65,0.053666667,U,,,,,
0.625,0.055,U,,,,,
0.6,0.056041667,U,,,,,
0.575,0.057041667,U,,,,,
0.55,0.057791667,U,,,,,
0.5,0.059041667,U,,,,,
0.45,0.059666667,U,,,,,
0.4,0.059958333,U,,,,,
0.35,0.059666667,U,,,,,
0.3,0.058958333,U,,,,,
0.25,0.057666667,U,,,,,
0.2,0.055375,U,,,,,
0.175,0.053875,U,,,,,
0.15,0.052,U,,,,,
0.125,0.049708333,U,,,,,
0.1,0.04675,U,,,,,
0.075,0.043041667,U,,,,,
0.05,0.037916667,U,,,,,
0.0375,0.0345,U,,,,,
0.025,0.030125,U,,,,,
0.0125,0.023458333,U,,,,,
0.0075,0.019208333,U,,,,,
0,0,U,,,,,
0,0,L,,,,,
0.0075,-0.019208333,L,,,,,
0.0125,-0.023541667,L,,,,,
0.025,-0.030625,L,,,,,
0.0375,-0.035291667,L,,,,,
0.05,-0.039,L,,,,,
0.075,-0.044458333,L,,,,,
0.1,-0.048375,L,,,,,
0.125,-0.051416667,L,,,,,
0.15,-0.053708333,L,,,,,
0.175,-0.055541667,L,,,,,
0.2,-0.056875,L,,,,,
0.25,-0.058875,L,,,,,
0.3,-0.05975,L,,,,,
0.35,-0.059875,L,,,,,
0.4,-0.059041667,L,,,,,
0.45,-0.057291667,L,,,,,
0.5,-0.054416667,L,,,,,
0.55,-0.05,L,,,,,
0.575,-0.046916667,L,,,,,
0.6,-0.043041667,L,,,,,
0.625,-0.038083333,L,,,,,
0.65,-0.03175,L,,,,,
0.675,-0.02475,L,,,,,
0.7,-0.018291667,L,,,,,
0.725,-0.012541667,L,,,,,
0.75,-0.007291667,L,,,,,
0.775,-0.002708333,L,,,,,
0.8,0.001208333,L,,,,,
0.825,0.0045,L,,,,,
0.85,0.006875,L,,,,,
0.875,0.008458333,L,,,,,
0.9,0.008791667,L,,,,,
0.925,0.007791667,L,,,,,
0.95,0.004958333,L,,,,,
0.975,-4.16667E-05,L,,,,,
1,-0.007791667,L,,,,,
