,0.83
0.99,0.241257586
0.96,0.188968983
0.94,0.129168217
0.9,0.020786405
0.85,-0.111896713
0.8,-0.197763604
0.75,-0.261164098
0.7,-0.317068603
0.65,-0.324262667
0.6,-0.376432657
0.55,-0.619580505
0.5,-0.61556024
0.45,-0.577805334
0.4,-0.577519585
0.35,-0.58287874
0.3,-0.616300673
0.25,
0.2,-0.591406302
0.15,-0.56495738
0.135,-0.525480787
0.11,-0.54219445
0.08,-0.525200429
0.06,-0.536301536
0.03,-0.442512728
0.008,
0.008,-0.107179147
0.03,-0.399447191
0.06,-0.508206408
0.08,-0.467164482
0.11,-0.493489399
0.135,-0.536738248
0.15,-0.563084731
0.2,-0.580148841
0.25,-0.565437224
0.3,-0.588205546
0.35,-0.588485904
0.4,-0.579419191
0.45,-0.575932685
0.5,-0.585587072
0.55,-0.593352635
0.6,-0.4288237
0.65,-0.333625912
0.7,-0.302076628
0.75,-0.264914787
0.8,-0.199641645
0.85,-0.110024064
0.9,0.018902973
0.94,0.131046257
0.96,0.19458693
0.99,0.243124844
