,0.4
0.99,0.212710024
0.96,0.131803219
0.94,0.054063239
0.9,-0.037941693
0.85,-0.128336025
0.8,-0.164764867
0.75,-0.193257227
0.7,-0.212225808
0.65,-0.226432499
0.6,-0.234288711
0.55,-0.235797031
0.5,-0.245240538
0.45,-0.248333565
0.4,-0.243493994
0.35,-0.268809172
0.3,-0.289363754
0.25,-0.289283483
0.2,-0.309840655
0.15,-0.325651474
0.135,-0.335137707
0.11,-0.357321016
0.08,-0.366807249
0.06,-0.365178522
0.03,-0.412755986
0.008,-0.284143543
0.008,-0.223827572
0.03,-0.412755986
0.06,-0.39057656
0.08,-0.350934285
0.11,-0.341448052
0.135,-0.341489482
0.15,-0.339938437
0.2,-0.317779727
0.25,-0.287697481
0.3,-0.273493379
0.35,-0.271985059
0.4,-0.273651332
0.45,-0.267379828
0.5,-0.256355497
0.55,-0.242146216
0.6,-0.2342913
0.65,-0.224845203
0.7,-0.212224513
0.75,-0.191671225
0.8,-0.164766162
0.85,-0.112464355
0.9,-0.033179804
0.94,0.049302645
0.96,0.133386632
0.99,0.215887206
