,0.83
1,0.019
0.989,0
0.972,-0.024
0.932,-0.105
0.899,-0.171
0.85,-0.297
0.801,-0.793
0.75,-0.861
0.7,-0.809
0.652,-0.78
0.6,-0.746
0.549,-0.699
0.499,-0.695
0.448,-0.681
0.398,-0.666
0.351,-0.652
0.301,-0.643
0.25,-0.638
0.2,-0.627
0.15,-0.628
0.098,-0.659
0.071,-0.647
0.046,-0.673
0.029,-0.618
0.016,-0.433
0.012,-0.294
0.003,0.58
0,1.181
0,1.181
0.006,0.496
0.011,0.133
0.02,-0.028
0.029,-0.11
0.048,-0.182
0.069,-0.215
0.102,-0.23
0.151,-0.278
0.199,-0.304
0.251,-0.341
0.299,-0.344
0.35,-0.35
0.4,-0.36
0.451,-0.364
0.5,-0.368
0.549,-0.298
0.598,-0.186
0.649,-0.033
0.699,0.145
0.747,0.266
0.8,0.361
0.85,0.43
0.899,0.464
0.929,0.465
0.95,0.454
0.998,0.017
