,0.78
1,0.1311
0.9212,0.0048
0.8791,-0.0762
0.8353,-0.1658
0.7493,-0.3431
0.6997,-0.3876
0.6598,-0.4748
0.6197,-0.7197
0.5795,-0.9809
0.5397,-1.0537
0.4996,-1.0618
0.4598,-1.055
0.4201,-1.0539
0.3795,-1.0692
0.3402,-1.0506
0.2994,-1.0421
0.25,-1.0279
0.1997,-1.0065
0.1,-0.9853
0.08,-0.9595
0.0608,-0.9438
0.04,-0.8572
0.03,-0.7956
0.0203,-0.7402
0.0097,-0.5766
0.0083,-0.3782
0,0.7082
0,0.7082
0.0052,0.9023
0.0098,0.7648
0.02,0.6166
0.05,0.4068
0.0813,0.2894
0.1199,0.1979
0.1796,0.0901
0.2397,0.0036
0.2999,-0.0789
0.3558,-0.1582
0.4193,-0.2263
0.4793,-0.263
0.5394,-0.2282
0.5994,-0.0908
0.6507,0.0823
0.7203,0.2231
0.7743,0.2999
0.8394,0.3416
0.8996,0.3464
0.9492,0.3066
1,0.1311
