,0.74,,,,,
1,-0.0101,,,,,
0.9212,-0.1269,,,,,
0.8791,-0.1942,,,,,
0.8353,-0.2632,,,,,
0.7493,-0.3743,,,,,
0.6997,-0.4163,,,,,
0.6598,-0.4466,,,,,
0.6197,-0.6059,,,,,
0.5795,-0.7472,,,,,
0.5397,-0.853,,,,,
0.4996,-0.9476,,,,,
0.4598,,,,,,
0.4201,-1.52,,,,,
0.3795,-1.5869,,,,,
0.3402,-1.5711,,,,,
0.2994,-1.5782,,,,,
0.25,-1.6157,,,,,
0.1997,-1.5966,,,,,
0.1,-1.6181,,,,,
0.08,-1.6152,,,,,
0.0608,-1.6284,,,,,
0.04,-1.6091,,,,,
0.03,-1.5993,,,,,
0.0203,-1.5744,,,,,
0.0097,-1.4885,,,,,
0.0083,-0.987,,,,,
0,-0.242,,,,,
0,-0.242,,,,,
0.0052,1.1529,,,,,
0.0098,1.0583,,,,,
0.02,0.9185,,,,,
0.05,0.6896,,,,,
0.0813,0.5458,,,,,
0.1199,0.4326,,,,,
0.1796,0.2993,,,,,
0.2397,0.1961,,,,,
0.2999,0.1041,,,,,
0.3558,0.0087,,,,,
0.4193,-0.0702,,,,,
0.4793,-0.1313,,,,,
0.5394,-0.136,,,,,
0.5994,-0.0554,,,,,
0.6507,0.0877,,,,,
0.7203,0.2148,,,,,
0.7743,0.2805,,,,,
0.8394,0.3053,,,,,
0.8996,0.2921,,,,,
0.9492,0.2385,,,,,
1,-0.0101,,,,,
