,0.78
1,0.1794
0.9212,0.0073
0.8791,-0.0838
0.8353,-0.1912
0.7493,-0.3963
0.6997,-0.4465
0.6598,-0.4749
0.6197,-0.4799
0.5795,-0.4646
0.5397,-0.4395
0.4996,-0.4038
0.4598,-0.381
0.4201,-0.3478
0.3795,-0.324
0.3402,-0.299
0.2994,-0.2856
0.25,-0.2461
0.1997,-0.2049
0.1,-0.091
0.08,-0.0355
0.0608,0.0274
0.04,0.1345
0.03,0.2263
0.0203,0.383
0.0097,0.6816
0.0083,0.675
0,1.1866
0,1.186
0.0052,-0.7896
0.0098,-0.6515
0.02,-0.4856
0.05,-0.4269
0.0813,-0.422
0.1199,-0.4093
0.1796,-0.453
0.2397,-0.4887
0.2999,-0.537
0.3558,-0.5995
0.4193,-0.6462
0.4793,-0.576
0.5394,-0.4067
0.5994,-0.2059
0.6507,-0.016
0.7203,0.1182
0.7743,0.1935
0.8394,0.2589
0.8996,0.2928
0.9492,0.2778
1,0.1794
