,0.6,0.7,0.74,0.76,0.78,0.8
1,0.1307,0.1318,0.1359,0.1358,0.139,0.1357
0.9212,-0.0279,-0.0154,-0.0019,0.0042,0.0115,0.0149
0.8791,-0.111,-0.1058,-0.0934,-0.0861,-0.079,-0.0637
0.8353,-0.2075,-0.2086,-0.2019,-0.1927,-0.1853,-0.1599
0.7493,-0.3657,-0.4166,-0.4138,-0.4126,-0.4152,-0.3587
0.6997,-0.4125,-0.4549,-0.4784,-0.444,-0.4919,-0.4729
0.6598,-0.4358,-0.4913,-0.524,-0.5404,-0.6073,-0.7499
0.6197,-0.4563,-0.5276,-0.5615,-0.5916,-0.6692,-0.8543
0.5795,-0.4708,-0.5375,-0.577,-0.623,-0.6556,-0.837
0.5397,-0.4684,-0.5315,-0.5441,-0.6272,-0.6196,-0.8086
0.4996,-0.4662,-0.5341,-0.5807,-0.6178,-0.6052,-0.7819
0.4598,-0.4754,-0.5434,-0.5806,-0.6164,-0.6308,-0.7982
0.4201,-0.4711,-0.5346,-0.5724,-0.5982,-0.6103,-0.7942
0.3795,-0.4705,-0.5394,-0.5748,-0.6017,-0.7227,-0.8061
0.3402,-0.4804,-0.5478,-0.5832,-0.6053,-0.7706,-0.8038
0.2994,-0.4962,-0.5615,-0.6014,-0.6039,-0.8006,-0.8032
0.25,-0.5057,-0.5782,-0.6178,-0.6271,-0.8128,-0.7959
0.1997,-0.526,-0.5999,-0.6434,-0.748,-0.8019,-0.7695
0.1,-0.6173,-0.7147,-0.7793,-0.7453,-0.7616,-0.7167
0.08,-0.6277,-0.7348,-0.7902,-0.7878,-0.7416,-0.6779
0.0608,-0.6701,-0.7706,-0.8018,-0.7755,-0.7207,-0.663
0.04,-0.7405,-0.7964,-0.7765,-0.7289,-0.6599,-0.6022
0.03,-0.745,-0.7559,-0.7046,-0.6504,-0.5889,-0.5139
0.0203,-0.7413,-0.6978,-0.6225,-0.5613,-0.4978,-0.4175
0.0097,-0.5905,-0.4611,-0.3691,-0.3004,-0.2273,-0.1588
0.0083,-0.453,-0.3472,-0.2011,-0.2295,-0.1749,-0.1127
0,0.6097,0.779,0.8497,0.8918,0.9386,0.9803
0,0.6097,0.779,0.8497,0.8918,0.9386,0.9803
0.0052,0.7103,0.7292,0.7173,0.7084,0.698,0.6838
0.0098,0.5651,0.5897,0.583,0.575,0.5687,0.5511
0.02,0.4333,0.4566,0.4539,0.4501,0.446,0.4379
0.05,0.2474,0.265,0.265,0.2623,0.2627,0.2567
0.0813,0.1448,0.1574,0.1566,0.1549,0.157,0.1494
0.1199,0.0742,0.0761,0.076,0.079,0.0766,0.0717
0.1796,-0.0098,-0.0168,-0.0193,-0.0136,-0.0162,-0.021
0.2397,-0.0731,-0.0825,-0.0933,-0.0869,-0.094,-0.1004
0.2999,-0.1285,-0.1481,-0.1579,-0.1594,-0.1656,-0.18
0.3558,-0.1791,-0.2106,-0.2233,-0.2304,-0.2432,-0.2589
0.4193,-0.2138,-0.2488,-0.2684,-0.2814,-0.2985,-0.3225
0.4793,-0.2272,-0.2694,-0.2889,-0.3064,-0.3235,-0.3577
0.5394,-0.1966,-0.2327,-0.2473,-0.2605,-0.2723,-0.2937
0.5994,-0.1023,-0.1112,-0.1137,-0.116,-0.1141,-0.1259
0.6507,0.041,0.053,0.0589,0.0596,0.0648,0.0666
0.7203,0.1672,0.1932,0.1981,0.2013,0.2075,0.2148
0.7743,0.2351,0.266,0.2754,0.2777,0.2893,0.2916
0.8394,0.2727,0.3102,0.3207,0.3239,0.3353,0.3412
0.8996,0.2816,0.3175,0.3267,0.3306,0.3431,0.3487
0.9492,0.2425,0.2869,0.2938,0.2927,0.2943,0.3009
1,0.1307,0.1318,0.1359,0.1358,0.139,0.1357
