,0.4,0.6,0.7,0.74,0.76
1,0.1123,0.1052,0.1277,0.1514,0.1394
0.9212,-0.0403,-0.0312,-0.0148,-0.0135,-0.0088
0.8791,-0.1176,-0.1161,-0.1057,-0.1033,-0.0989
0.8353,-0.205,-0.215,-0.2185,-0.2094,-0.1945
0.7493,-0.3337,-0.39,-0.4179,-0.4092,-0.3387
0.6997,-0.4066,-0.4439,-0.4871,-0.4539,-0.3792
0.6598,-0.4308,-0.4827,-0.5339,-0.4912,-0.3879
0.6197,-0.4526,-0.5133,-0.5733,-0.507,-0.4249
0.5795,-0.4662,-0.5385,-0.5939,-0.4719,-0.5155
0.5397,-0.4817,-0.5505,-0.5992,-0.46,-0.6607
0.4996,-0.4862,-0.564,-0.6116,-0.4828,-1.1521
0.4598,-0.5077,-0.579,-0.6198,-0.6328,-1.2444
0.4201,-0.5116,-0.5882,-0.5891,-0.9826,-1.2689
0.3795,-0.5253,-0.6017,-0.5817,-1.3064,-1.261
0.3402,-0.541,-0.6288,-0.5585,-1.3167,-1.2314
0.2994,-0.5703,-0.6562,-0.5304,-1.3241,-1.2381
0.25,-0.6057,-0.6931,-0.9369,-1.301,-1.227
0.1997,-0.6526,-0.7563,-1.3999,-1.3058,-1.209
0.1,-0.8613,-0.9947,-1.5072,-1.3214,-1.2078
0.08,-0.919,-1.0581,-1.5199,-1.3286,-1.1826
0.0608,-1.0264,-1.1452,-1.511,-1.3141,-1.1863
0.04,-1.2047,-1.6442,-1.5229,-1.2981,-1.1461
0.03,-1.3121,-1.7632,-1.4851,-1.2354,-1.095
0.0203,-1.3466,-1.9369,-1.456,-1.2227,-1.0668
0.0097,-1.8282,-2.0944,-1.4183,-1.1293,-0.9817
0.0083,-1.4069,-1.325,-0.8672,-0.7189,-0.6169
0,-1.1104,-0.4025,0.0932,0.2798,0.4218
0,-1.1104,-0.4025,0.0932,0.2798,0.4218
0.0052,0.9983,1.0307,1.0658,1.0373,1.0215
0.0098,0.8685,0.9116,0.9261,0.9045,0.8798
0.02,0.7302,0.7526,0.766,0.7482,0.7268
0.05,0.4998,0.5128,0.5315,0.5208,0.501
0.0813,0.3612,0.3785,0.3971,0.3867,0.3732
0.1199,0.2683,0.2775,0.2974,0.2861,0.2706
0.1796,0.1627,0.1696,0.1799,0.1694,0.1507
0.2397,0.0861,0.086,0.0876,0.078,0.0661
0.2995,0.0278,0.0154,0.0127,0.0014,-0.0194
0.3588,-0.0296,-0.0425,-0.0579,-0.0731,-0.0946
0.4193,-0.0702,-0.0862,-0.1125,-0.1355,-0.1565
0.4793,-0.0995,-0.1252,-0.1483,-0.1671,-0.1945
0.5394,-0.0926,-0.1107,-0.133,-0.1504,-0.1751
0.5994,-0.0363,-0.0327,-0.0337,-0.0442,-0.0635
0.6507,0.0869,0.0928,0.1053,0.1075,0.0995
0.7203,0.1901,0.2024,0.2304,0.2408,0.2346
0.7743,0.2437,0.2672,0.304,0.314,0.3082
0.8394,0.2752,0.2992,0.3359,0.3519,0.3454
0.8996,0.2689,0.2963,0.3367,0.3498,0.349
0.9492,0.2201,0.2479,0.2859,0.3111,0.3149
1,0.1123,0.1052,0.1277,0.1514,0.1394
