,0.4,0.6,0.7,0.74
1,0.0823,0.0501,0.0248,-0.0101
0.9212,-0.0421,-0.0576,-0.1036,-0.1269
0.8791,-0.1123,-0.1258,-0.1797,-0.1942
0.8353,-0.2024,-0.2082,-0.2533,-0.2632
0.7493,-0.3815,-0.3673,-0.3942,-0.3743
0.6997,-0.4339,-0.4371,-0.4227,-0.4163
0.6598,-0.47,-0.4862,-0.4445,-0.4466
0.6197,-0.5005,-0.5253,-0.4034,-0.6059
0.5795,-0.5444,-0.5586,-0.4889,-0.7472
0.5397,-0.5692,-0.5473,-0.5333,-0.853
0.4996,-0.589,-0.609,-0.6006,-0.9476
0.4598,-0.6135,-0.6394,-0.7416,
0.4201,-0.6377,-0.6598,-0.9051,-1.52
0.3795,-0.6755,-0.6932,-1.1579,-1.5869
0.3402,-0.7212,-0.7193,-1.4472,-1.5711
0.2994,-0.7655,-0.7527,-1.7784,-1.5782
0.25,-0.8346,-0.8018,-1.8342,-1.6157
0.1997,-0.9333,-0.9199,-1.8473,-1.5966
0.1,-1.3077,-2.5585,-1.9144,-1.6181
0.08,-1.4436,-2.709,-1.9357,-1.6152
0.0608,-1.6558,-2.7767,-1.9744,-1.6284
0.04,-2.0161,-2.8418,-1.962,-1.6091
0.03,-2.2395,-2.8496,-1.9626,-1.5993
0.0203,-2.597,-2.8903,-1.9435,-1.5744
0.0097,-4.2248,-2.8571,-1.858,-1.4885
0.0083,,-1.7384,-1.1898,-0.987
0,-4.237,-1.4493,-0.5471,-0.242
0,-4.237,-1.4493,-0.5471,-0.242
0.0052,0.9062,1.0748,1.1559,1.1529
0.0098,1.0132,1.057,1.0877,1.0583
0.02,0.9723,0.9514,0.9558,0.9185
0.05,0.7593,0.7301,0.7238,0.6896
0.0813,0.6139,0.5896,0.5794,0.5458
0.1199,0.4981,0.4736,0.4663,0.4326
0.1796,0.3636,0.3432,0.3305,0.2993
0.2397,0.269,0.2473,0.2288,0.1961
0.2999,0.1888,0.1595,0.135,0.1041
0.3558,0.1177,0.0822,0.0526,0.0087
0.4193,0.0574,0.0236,-0.0206,-0.0702
0.4793,0.0206,-0.025,-0.0663,-0.1313
0.5394,0.0176,-0.0327,-0.0813,-0.136
0.5994,0.0023,0.0283,-0.0052,-0.0554
0.6507,0.1521,0.1287,0.1189,0.0877
0.7203,0.2373,0.2294,0.2343,0.2148
0.7743,0.2853,0.2857,0.2976,0.2805
0.8394,0.2978,0.3049,0.325,0.3053
0.8996,0.2855,0.2929,0.3125,0.2921
0.9492,0.2401,0.2282,0.2578,0.2385
1,0.0823,0.0501,0.0288,-0.0101
