,0.78,0.8
1,0.1643,0.1689
0.9212,0.0095,0.0165
0.8791,-0.0829,-0.0773
0.8353,-0.1948,-0.1879
0.7493,-0.4102,-0.4306
0.6997,-0.477,-0.5457
0.6598,-0.5226,-0.6221
0.6197,-0.5435,-0.617
0.5795,-0.5342,-0.5821
0.5397,-0.5052,-0.5366
0.4996,-0.4746,-0.4991
0.4598,-0.4535,-0.4726
0.4201,-0.4228,-0.4359
0.3795,-0.4075,-0.4137
0.3402,-0.3874,-0.3927
0.2994,-0.3732,-0.3796
0.25,-0.3456,-0.3491
0.1997,-0.3135,-0.3093
0.1,-0.2242,-0.21
0.08,-0.179,-0.1656
0.0608,-0.1261,-0.1103
0.04,-0.0336,-0.0142
0.03,0.0529,0.0736
0.0203,0.1781,0.203
0.0097,0.4968,0.5186
0.0083,0.5159,0.5343
0,1.1947,1.2684
0,1.1947,1.2084
0.0052,-0.2604,-0.2685
0.0098,-0.2075,-0.2134
0.02,-0.1736,-0.1807
0.05,-0.2096,-0.2175
0.0813,-0.2474,-0.2581
0.1199,-0.2787,-0.293
0.1796,-0.3282,-0.3415
0.2397,-0.374,-0.3955
0.2999,-0.4305,-0.4536
0.3558,-0.4996,-0.5379
0.4193,-0.5409,-0.6172
0.4793,-0.5283,-0.6749
0.5394,-0.3956,-0.3942
0.5994,-0.1922,-0.1862
0.6507,0.0075,0.0123
0.7203,0.1582,0.1605
0.7743,0.2366,0.2397
0.8394,0.2953,0.3016
0.8996,0.3212,0.3275
0.9492,0.2907,0.2966
1,0.1643,0.1689
