,0.6
0.982742961,0.070063694
0.963669391,0.063694268
0.939146231,0.031847134
0.920072661,0.012738854
0.899182561,-0.01910828
0.875567666,-0.044585987
0.854677566,-0.063694268
0.831970936,-0.095541401
0.811080836,-0.121019108
0.78928247,-0.146496815
0.767484105,-0.159235669
0.746594005,-0.184713376
0.723887375,-0.21656051
0.70390554,-0.23566879
0.682107175,-0.25477707
0.659400545,-0.280254777
0.638510445,-0.312101911
0.61489555,-0.318471338
0.59582198,-0.337579618
0.574023615,-0.382165605
0.553133515,-0.401273885
0.53133515,-0.407643312
0.51044505,-0.433121019
0.488646685,-0.452229299
0.46684832,-0.484076433
0.445049955,-0.496815287
0.423251589,-0.547770701
0.40236149,-0.605095541
0.38147139,-0.630573248
0.359673025,-0.687898089
0.337874659,-0.738853503
0.317892825,-0.815286624
0.295186194,-0.898089172
0.273387829,-1
0.252497729,-1.114649682
0.230699364,-1.25477707
0.209809264,-1.407643312
0.186194369,-1.592356688
0.169845595,-1.808917197
0.156221617,-2.121019108
0.140781108,-2.445859873
0.123524069,-2.503184713
0.109900091,-2.573248408
0.093551317,-2.566878981
0.08537693,-2.547770701
0.076294278,-2.515923567
0.069936421,-2.49044586
0.06448683,-2.464968153
0.058128974,-2.414012739
0.054495913,-2.369426752
0.049954587,-2.318471338
0.04359673,-2.261146497
0.039055404,-2.203821656
0.033605813,-2.101910828
0.027247956,-2.057324841
0.021798365,-2.025477707
0.015440509,-1.936305732
0.011807448,-1.840764331
0.007266122,-1.76433121
0.002724796,0.324840764
0.009082652,1.121019108
0.011807448,1.057324841
0.017257039,0.961783439
0.023614896,0.891719745
0.034514078,0.802547771
0.039055404,0.757961783
0.04359673,0.719745223
0.055404178,0.649681529
0.069936421,0.592356688
0.08719346,0.535031847
0.118982743,0.458598726
0.14986376,0.394904459
0.183469573,0.363057325
0.215258856,0.318471338
0.247048138,0.27388535
0.280653951,0.267515924
0.310626703,0.23566879
0.343324251,0.210191083
0.374205268,0.191082803
0.406902816,0.171974522
0.438692098,0.152866242
0.471389646,0.114649682
0.504087193,0.114649682
0.536784741,0.095541401
0.568574024,0.070063694
0.600363306,0.063694268
0.632152589,0.057324841
0.665758401,0.044585987
0.694822888,0.031847134
0.726612171,0.025477707
0.760217984,0.01910828
0.791099001,0.025477707
0.822888283,0.012738854
0.856494096,0.01910828
0.888283379,0.050955414
0.919164396,0.076433121
0.951861944,0.21656051
0.982742961,0.152866242
